Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Arron Afflalo,25,SG,69,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,.128,1.7,-0.3,1.4,2.0,
2,Nenê,28,C,75,75,2291,20.4,.657,.008,.615,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,6.4,3.1,9.6,.201,2.1,1.5,3.6,3.2,
3,Ty Lawson,23,PG,80,31,2103,17.9,.593,.249,.327,3.8,7.6,5.7,28.3,1.9,0.1,14.8,19.6,5.1,1.6,6.7,.153,2.4,-0.3,2.1,2.2,6MOY-11
4,J.R. Smith,25,SF,79,6,1968,16.4,.550,.406,.282,2.7,15.8,9.4,14.2,2.3,0.6,10.2,22.2,2.6,2.3,5.0,.121,1.1,0.6,1.7,1.9,6MOY-10
5,Carmelo Anthony,26,SF,50,50,1774,21.2,.547,.130,.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,2.8,1.9,4.7,.127,2.4,-1.0,1.4,1.5,AS
6,Al Harrington,30,PF,73,3,1665,12.3,.527,.486,.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,.060,-0.6,-1.1,-1.7,0.1,
7,Chauncey Billups,34,PG,51,51,1646,18.6,.634,.444,.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,4.7,1.1,5.8,.171,3.8,-0.9,2.9,2.1,
8,Kenyon Martin,33,PF,48,48,1233,14.1,.526,.025,.199,6.5,20.9,13.9,13.6,1.8,2.2,13.0,16.4,1.0,1.6,2.7,.104,-0.8,1.7,0.9,0.9,DPOY-23
9,Gary Forbes,25,SF,63,11,791,11.7,.524,.212,.319,4.2,12.5,8.5,9.7,1.5,0.6,12.9,20.1,0.3,0.7,0.9,.055,-2.0,-0.8,-2.9,-0.2,
10,Chris Andersen,32,C,45,0,732,19.0,.636,.007,.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,.207,1.2,1.8,3.0,0.9,
11,Shelden Williams,27,PF,42,32,713,11.3,.492,.000,.254,12.3,23.4,18.0,3.9,1.3,2.3,15.5,14.9,0.2,0.9,1.2,.078,-2.8,-0.3,-3.1,-0.2,
12,Raymond Felton,26,SG,21,0,663,14.7,.523,.299,.294,1.4,11.3,6.5,31.1,2.1,0.0,16.3,18.5,0.7,0.6,1.3,.097,0.4,0.6,1.0,0.5,
13,Wilson Chandler,23,SF,21,19,642,11.6,.505,.311,.174,2.4,16.1,9.4,8.3,1.1,2.8,12.5,20.6,-0.2,0.7,0.5,.037,-1.5,0.7,-0.8,0.2,
14,Danilo Gallinari,22,SF,14,12,433,15.9,.587,.412,.771,3.0,16.8,10.1,7.5,1.5,1.6,12.5,20.6,0.7,0.5,1.2,.133,1.7,1.3,3.0,0.5,
15,Melvin Ely,32,C,30,2,366,8.3,.573,.000,.412,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9.0,0.3,0.3,0.6,.083,-2.9,-0.3,-3.2,-0.1,
16,Anthony Carter,35,PG,14,0,153,5.4,.421,.400,.067,0.0,8.8,4.5,23.2,3.0,0.5,31.2,13.1,-0.2,0.2,-0.1,-0.018,-5.0,1.3,-3.7,-0.1,
17,Kosta Koufos,21,C,11,1,98,20.3,.536,.000,.452,18.2,20.6,19.4,0.0,1.0,3.9,10.6,25.6,0.1,0.1,0.3,.133,-1.3,-2.8,-4.1,-0.1,
18,Timofey Mozgov,24,C,11,0,66,14.4,.571,.000,.381,9.0,20.4,14.9,0.0,0.8,2.3,10.9,18.6,0.1,0.1,0.2,.112,-2.8,-0.7,-3.5,0.0,
19,Renaldo Balkman,26,SF,5,0,44,12.8,.604,.000,.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,0.1,0.1,0.2,.182,-3.6,2.1,-1.5,0.0,
