Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Collin Sexton,21,PG,65,65,2143,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,.057,0.3,-2.1,-1.8,0.1,
2,Cedi Osman,24,SF,65,65,1910,10.7,.552,.527,.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.0,0.6,1.6,.040,-1.7,-0.9,-2.6,-0.3,
3,Darius Garland,20,SG,59,59,1824,8.5,.498,.423,.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.034,-2.7,-2.8,-5.5,-1.7,
4,Kevin Love,31,PF,56,56,1780,17.9,.599,.536,.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.3,3.8,.101,2.6,-0.5,2.0,1.8,
5,Tristan Thompson,28,C,57,51,1721,16.8,.540,.041,.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,.085,-0.2,-1.3,-1.5,0.2,
6,Larry Nance Jr.,27,PF,56,10,1472,17.3,.608,.369,.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,.128,1.4,0.4,1.7,1.4,
7,Kevin Porter Jr.,19,SF,50,3,1162,10.8,.535,.375,.240,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,.012,-3.2,-0.6,-3.8,-0.5,
8,Matthew Dellavedova,29,PG,57,4,821,8.1,.463,.520,.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,.011,-3.6,-1.6,-5.2,-0.7,
9,Jordan Clarkson,27,SG,29,0,666,18.6,.581,.488,.264,3.5,8.1,5.8,17.0,1.2,1.0,9.7,25.9,1.4,0.1,1.5,.107,4.1,-1.4,2.7,0.8,
10,Alfonzo McKinnie,27,SF,40,1,593,8.7,.493,.380,.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,.014,-4.4,-0.9,-5.3,-0.5,
11,John Henson,29,C,29,2,412,16.9,.539,.258,.275,8.5,22.3,15.4,15.2,1.9,6.7,13.5,16.1,0.4,0.5,0.9,.109,-1.2,2.2,1.1,0.3,
12,Dante Exum,24,SG,24,1,402,11.5,.592,.385,.427,2.5,12.8,7.6,11.4,1.5,1.3,15.6,14.4,0.4,0.2,0.5,.063,-2.0,-0.4,-2.4,0.0,
13,Brandon Knight,28,SG,16,0,241,5.4,.431,.744,.151,1.4,7.9,4.6,18.0,1.0,0.7,14.9,19.1,-0.3,0.0,-0.3,-0.062,-3.8,-2.7,-6.5,-0.3,
14,Andre Drummond,26,C,8,8,225,21.1,.573,.133,.371,11.7,32.4,22.0,10.8,2.6,4.2,19.2,28.7,-0.1,0.3,0.3,.053,-0.9,0.4,-0.4,0.1,DPOY-8
15,Ante Žižić,23,C,22,0,221,16.4,.597,.000,.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,.106,-1.7,-1.5,-3.2,-0.1,
16,Dean Wade,23,PF,12,0,71,13.9,.744,.308,.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,0.1,0.1,0.2,.105,-1.7,0.5,-1.3,0.0,
17,Tyler Cook,22,PF,11,0,35,23.9,.752,.000,.600,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,0.2,0.0,0.2,.244,2.9,-0.6,2.3,0.0,
18,Matt Mooney,22,SG,4,0,19,8.1,.250,.500,.000,0.0,17.7,8.8,6.7,5.1,4.5,0.0,9.0,0.0,0.0,0.0,.007,-5.3,5.0,-0.4,0.0,
19,Malik Newman,22,SG,1,0,4,-11.4,.347,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,41.5,0.0,0.0,0.0,-0.502,-14.5,-11.2,-25.7,0.0,
20,Marques Bolden,21,C,1,0,3,19.8,,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,0.0,0.0,0.0,.282,-5.8,11.3,5.4,0.0,
21,J.P. Macura,24,SG,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.022,-5.2,-1.2,-6.4,0.0,
