Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Sam Cassell,33,PG,78,77,2700,22.3,.565,.140,.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,8.8,0.8,9.6,.171,3.9,-1.2,2.7,3.2,
2,Tim Thomas,25,SF,80,70,2358,14.3,.527,.285,.200,4.8,14.6,9.7,7.3,1.6,1.5,11.6,22.6,1.9,1.0,2.9,.060,-0.5,-1.7,-2.2,-0.1,
3,Michael Redd,23,SG,82,14,2316,21.0,.590,.428,.191,4.9,13.9,9.4,8.9,2.3,0.4,6.6,22.6,6.9,1.1,8.0,.167,5.0,-1.2,3.9,3.4,6MOY-2
4,Anthony Mason,36,C,65,58,2119,11.3,.524,.003,.298,4.9,18.1,11.5,14.6,0.8,0.4,15.1,11.5,2.5,0.6,3.1,.069,-0.6,-0.8,-1.4,0.3,
5,Toni Kukoč,34,PF,63,0,1704,18.0,.551,.456,.336,4.6,13.7,9.1,21.8,2.5,1.3,15.6,21.4,2.9,1.1,4.0,.112,2.9,0.0,2.8,2.1,6MOY-10
6,Ray Allen,27,SG,47,46,1683,19.9,.564,.387,.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,3.8,0.5,4.3,.123,3.4,-1.9,1.6,1.5,
7,Ervin Johnson,35,C,69,17,1170,9.4,.492,.000,.326,11.7,17.8,14.7,2.9,1.5,4.0,18.1,7.5,1.0,0.9,1.9,.079,-2.9,-0.1,-3.0,-0.3,
8,Kevin Ollie,30,PG,53,4,1127,13.5,.513,.020,.357,1.2,9.1,5.1,24.3,1.7,0.3,10.9,13.7,2.0,0.1,2.1,.090,-0.6,-0.5,-1.1,0.3,
9,Gary Payton,34,PG,28,28,1085,20.5,.523,.143,.249,2.5,6.8,4.6,33.8,2.0,0.5,9.6,25.0,2.8,0.1,2.9,.128,3.3,-2.0,1.3,0.9,"DPOY-11,AS"
10,Desmond Mason,25,SF,28,25,952,16.9,.525,.049,.291,8.1,15.1,11.6,12.1,1.1,0.9,9.4,21.3,1.8,0.3,2.0,.103,1.1,-2.2,-1.2,0.2,
11,Jason Caffey,29,PF,51,16,894,10.5,.501,.000,.427,8.9,14.2,11.5,6.7,1.1,1.2,16.0,18.3,0.3,0.3,0.6,.031,-3.1,-1.8,-4.9,-0.7,
12,Dan Gadzuric,24,C,49,30,760,11.2,.498,.007,.386,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,0.4,0.7,1.2,.075,-3.6,0.1,-3.5,-0.3,
13,Joel Przybilla,23,C,32,17,546,7.9,.424,.000,.522,10.2,20.9,15.5,3.0,1.0,6.1,25.1,6.4,0.1,0.5,0.6,.051,-4.3,0.3,-4.0,-0.3,
14,Marcus Haislip,22,PF,39,8,441,9.6,.474,.078,.248,5.5,8.5,7.0,3.3,0.8,3.0,11.0,20.1,-0.1,0.1,0.0,-0.003,-3.6,-2.3,-5.9,-0.4,
15,Ronald Murray,23,SG,12,0,42,10.7,.390,.154,.308,0.0,2.8,1.4,13.0,5.1,0.0,11.9,37.1,-0.2,0.0,-0.1,-0.165,-4.8,-1.7,-6.4,0.0,
16,Jamal Sampson,19,PF,5,0,8,8.4,.000,.000,.000,14.6,14.7,14.6,16.3,6.6,0.0,0.0,11.6,0.0,0.0,0.0,-0.066,-2.9,-0.3,-3.2,0.0,
