Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Al Horford,24,C,77,77,2704,20.7,.587,.004,.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,.179,2.5,1.1,3.6,3.9,"AS,NBA3"
2,Josh Smith,25,PF,77,77,2645,19.2,.540,.148,.304,6.2,23.7,15.0,17.1,2.0,3.5,14.3,24.7,1.9,4.5,6.4,.116,1.0,1.7,2.8,3.2,DPOY-25
3,Joe Johnson,29,SG,72,72,2554,16.4,.517,.258,.209,2.8,10.9,6.9,24.0,1.0,0.2,10.3,26.3,2.5,1.8,4.2,.080,1.2,-1.5,-0.3,1.1,AS
4,Jamal Crawford,30,SG,76,0,2297,14.2,.545,.399,.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,1.9,1.4,3.4,.071,0.6,-1.6,-1.0,0.6,6MOY-5
5,Marvin Williams,24,SF,65,52,1865,13.5,.551,.205,.324,4.4,15.7,10.1,7.6,1.0,0.9,9.2,17.2,2.3,1.7,4.0,.102,-0.3,-0.5,-0.8,0.6,
6,Mike Bibby,32,PG,56,56,1674,11.7,.570,.580,.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,1.9,1.2,3.1,.089,-0.3,-0.3,-0.6,0.6,
7,Zaza Pachulia,26,C,79,7,1244,12.4,.562,.000,.772,11.6,20.6,16.1,7.0,1.5,1.3,18.2,14.5,1.5,1.6,3.1,.118,-2.8,0.1,-2.8,-0.2,
8,Jeff Teague,22,PG,70,7,963,14.6,.521,.158,.319,1.4,11.3,6.4,23.3,2.5,2.0,15.6,20.3,0.4,1.2,1.7,.083,-0.8,1.3,0.5,0.6,
9,Maurice Evans,32,SF,47,12,837,7.5,.492,.443,.139,3.3,8.7,6.0,5.4,1.0,0.5,6.6,13.0,0.3,0.6,0.9,.050,-3.1,-0.5,-3.7,-0.4,
10,Kirk Hinrich,30,PG,24,22,686,9.8,.530,.411,.114,1.2,8.0,4.7,17.9,1.5,0.8,16.0,16.0,0.2,0.5,0.7,.050,-1.8,0.0,-1.8,0.0,
11,Damien Wilkins,31,SF,52,0,676,11.4,.557,.073,.409,4.1,11.9,8.0,9.3,2.1,1.0,11.5,12.8,0.7,0.8,1.5,.104,-2.4,1.4,-1.0,0.2,
12,Josh Powell,28,PF,54,0,653,8.0,.492,.005,.216,9.1,15.8,12.5,5.5,0.4,0.6,18.9,20.4,-0.7,0.5,-0.2,-0.012,-5.0,-2.3,-7.3,-0.9,
13,Jason Collins,32,C,49,28,593,5.4,.539,.014,.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,0.1,0.5,0.6,.049,-5.3,0.4,-4.8,-0.4,
14,Jordan Crawford,22,SG,16,0,160,7.6,.421,.351,.078,6.8,14.2,10.5,16.0,1.0,0.0,15.8,28.1,-0.4,0.1,-0.3,-0.090,-2.8,-2.7,-5.5,-0.1,
15,Etan Thomas,32,C,13,0,82,15.1,.580,.000,.714,8.9,24.8,16.9,3.9,0.7,3.7,15.3,18.9,0.1,0.1,0.2,.130,-1.9,0.3,-1.7,0.0,
16,Hilton Armstrong,26,C,12,0,76,10.1,.457,.083,.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,-0.1,0.1,0.1,.054,-3.2,2.0,-1.2,0.0,
17,Pape Sy,22,SF,3,0,21,9.2,.478,.167,.500,11.6,5.7,8.6,14.5,2.6,0.0,29.1,23.3,0.0,0.0,0.0,-0.047,-3.5,-2.5,-6.0,0.0,
