Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Hakeem Olajuwon,25,C,79,79,2825,23.4,.555,.003,.396,11.2,24.1,17.7,9.2,2.7,4.2,13.0,26.5,4.4,6.3,10.7,.182,2.2,2.2,4.4,4.6,"MVP-7,DPOY-3,AS,NBA1"
2,Rodney McCray,26,SF,81,80,2689,15.1,.554,.005,.492,9.1,15.4,12.3,13.1,1.0,1.1,13.7,15.7,4.4,3.2,7.6,.135,1.2,0.4,1.6,2.5,
3,Allen Leavell,30,SG,80,54,2150,14.3,.527,.132,.377,1.1,6.1,3.6,25.3,2.7,0.2,14.3,16.9,2.6,2.5,5.1,.115,-0.3,1.1,0.8,1.5,
4,Purvis Short,30,SG,81,11,1949,15.8,.531,.021,.243,3.8,8.0,5.9,13.0,1.4,0.4,9.8,24.9,2.6,1.8,4.4,.108,-0.2,-0.5,-0.6,0.7,
5,Sleepy Floyd,27,PG,59,55,1834,14.0,.507,.078,.322,2.9,8.7,5.8,27.6,1.7,0.3,17.0,20.1,1.1,1.9,3.1,.080,-0.5,-0.3,-0.8,0.6,
6,Jim Petersen,25,PF,69,50,1793,11.8,.552,.012,.314,8.5,16.9,12.7,8.0,0.9,1.2,17.6,15.1,1.1,2.3,3.4,.091,-1.9,0.3,-1.6,0.2,
7,Joe Barry Carroll,29,C,63,16,1596,14.0,.486,.001,.211,7.2,18.6,13.0,8.7,1.1,2.8,13.4,22.7,-0.4,2.4,2.0,.061,-1.7,0.3,-1.5,0.2,
8,Robert Reid,32,SG,62,31,980,10.9,.512,.096,.177,4.1,9.2,6.7,9.6,1.3,0.3,9.7,17.4,0.7,0.9,1.7,.083,-2.3,-0.2,-2.5,-0.1,
9,Buck Johnson,24,SF,70,2,879,13.9,.559,.027,.305,9.2,10.7,10.0,7.9,1.6,1.7,13.8,17.9,1.1,1.1,2.1,.116,-1.1,0.3,-0.8,0.3,
10,Cedric Maxwell,32,SF,71,0,848,12.1,.577,.012,.836,9.2,12.9,11.0,9.0,1.2,0.8,18.8,13.6,1.0,1.0,2.0,.112,-0.5,0.2,-0.3,0.4,
11,Ralph Sampson,27,PF,19,19,705,12.6,.491,.022,.314,8.6,16.8,12.7,7.4,1.1,2.6,16.7,21.1,-0.3,1.0,0.7,.048,-2.0,0.2,-1.8,0.0,
12,World B. Free,34,SG,58,0,682,11.1,.475,.100,.286,2.2,4.6,3.4,13.1,1.4,0.2,11.1,26.1,-0.1,0.5,0.4,.028,-3.1,-1.7,-4.7,-0.5,
13,Lester Conner,28,PG,52,3,399,13.6,.524,.065,.380,5.3,4.7,5.0,19.6,4.5,0.1,20.7,16.0,0.1,0.6,0.7,.090,-1.5,3.1,1.6,0.4,
14,Steve Harris,24,SG,14,10,199,12.1,.446,.012,.186,6.3,4.7,5.5,12.0,1.9,0.6,6.1,20.0,0.1,0.2,0.3,.071,-1.3,-0.2,-1.5,0.0,
15,Andre Turner,23,PG,12,0,99,10.4,.436,.206,.412,4.2,4.2,4.2,30.6,3.3,0.6,23.0,21.1,-0.1,0.1,0.0,.001,-2.2,0.4,-1.9,0.0,
16,Richard Anderson,27,PF,12,0,53,22.9,.567,.577,.192,17.8,15.7,16.8,11.2,0.9,0.0,3.4,22.1,0.2,0.1,0.3,.253,10.0,-1.3,8.8,0.1,
