Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Nerlens Noel,20,C,75,71,2311,15.0,.493,.000,.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,-0.2,4.2,4.0,.083,-2.6,2.3,-0.3,1.0,"ROY-3,DPOY-15"
2,Robert Covington,24,SF,70,49,1956,14.7,.554,.590,.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,1.6,2.3,4.0,.097,0.3,0.4,0.7,1.3,
3,Luc Mbah a Moute,28,PF,67,61,1916,10.6,.466,.318,.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,-0.9,2.0,1.1,.027,-2.7,-0.1,-2.8,-0.4,
4,Hollis Thompson,23,SG,71,23,1776,10.9,.538,.529,.164,3.1,9.3,6.0,8.4,1.6,1.2,10.2,15.9,1.3,1.3,2.6,.070,-1.6,-0.3,-1.8,0.1,
5,Henry Sims,24,C,73,32,1399,14.5,.521,.044,.273,8.9,19.4,13.9,10.7,1.4,1.7,15.0,20.6,0.5,1.5,2.1,.072,-2.1,-0.7,-2.8,-0.3,
6,Michael Carter-Williams,23,PG,41,38,1391,12.8,.444,.205,.298,3.2,17.3,9.9,40.9,2.2,1.0,20.1,27.1,-2.1,1.6,-0.5,-0.017,-1.7,-0.4,-2.0,0.0,
7,Jerami Grant,20,SF,65,11,1377,8.7,.470,.443,.548,3.7,12.3,7.8,9.4,1.5,4.0,16.3,16.5,-0.9,1.4,0.5,.019,-3.9,0.6,-3.3,-0.5,
8,K.J. McDaniels,21,SG,52,15,1319,10.8,.499,.351,.313,5.0,11.3,8.0,9.3,1.7,4.2,17.9,19.2,-0.8,1.4,0.6,.023,-3.0,0.3,-2.6,-0.2,
9,JaKarr Sampson,21,SF,74,32,1131,9.4,.498,.367,.272,3.2,12.9,7.8,12.0,1.7,1.9,16.4,17.9,-0.5,1.1,0.6,.025,-4.2,0.0,-4.2,-0.6,
10,Tony Wroten,21,PG,30,15,895,14.9,.494,.327,.415,2.5,8.1,5.2,34.9,2.7,0.7,18.0,30.5,-0.6,0.9,0.3,.014,0.0,-1.2,-1.2,0.2,
11,Ish Smith,26,PG,25,14,677,13.0,.439,.171,.149,1.5,10.6,5.8,44.1,2.4,0.6,16.7,26.5,-0.8,0.6,-0.1,-0.010,-1.3,-1.1,-2.4,-0.1,
12,Isaiah Canaan,23,PG,22,12,569,12.8,.526,.656,.158,1.3,9.4,5.1,22.7,1.3,0.4,12.9,23.2,0.4,0.3,0.8,.065,0.0,-1.1,-1.1,0.1,
13,Furkan Aldemir,23,PF,41,9,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,.122,-3.9,0.4,-3.6,-0.2,
14,Jason Richardson,34,SG,19,15,416,11.7,.458,.539,.124,3.2,14.5,8.6,16.6,1.6,0.6,7.9,21.3,0.0,0.4,0.4,.045,-0.9,-0.4,-1.3,0.1,
15,Thomas Robinson,23,PF,22,0,407,19.3,.496,.012,.343,15.8,30.2,22.6,11.7,2.0,1.8,11.8,23.6,0.3,0.7,1.0,.118,0.0,-0.7,-0.7,0.1,
16,Brandon Davies,23,PF,20,6,379,10.7,.472,.252,.277,9.5,11.4,10.4,13.0,2.2,0.9,15.8,18.2,-0.1,0.4,0.3,.039,-3.6,-0.5,-4.1,-0.2,
17,Alexey Shved,26,SG,17,0,285,20.0,.545,.438,.438,2.9,5.6,4.2,31.3,2.5,0.3,10.4,26.5,0.7,0.2,0.9,.160,3.4,-0.7,2.7,0.3,
18,Larry Drew II,24,PG,12,1,219,4.5,.388,.448,.052,0.5,7.3,3.7,33.9,1.4,0.0,29.6,16.8,-0.5,0.1,-0.4,-0.087,-7.1,-2.8,-9.9,-0.4,
19,Malcolm Thomas,26,PF,17,0,194,8.2,.492,.175,.325,8.5,23.5,15.6,6.0,0.8,0.4,22.1,13.2,-0.1,0.2,0.1,.023,-5.3,-1.7,-7.0,-0.2,
20,Chris Johnson,24,SF,9,2,187,6.0,.425,.650,.133,1.7,14.0,7.5,2.7,2.4,2.2,12.4,16.9,-0.3,0.2,-0.1,-0.017,-5.1,-0.1,-5.2,-0.2,
21,Tim Frazier,24,PG,6,3,171,5.9,.343,.256,.349,2.4,10.0,6.0,40.4,1.8,0.0,26.6,17.2,-0.4,0.1,-0.3,-0.071,-5.6,-1.3,-6.9,-0.2,
22,Glenn Robinson III,21,SF,10,1,153,8.6,.473,.302,.186,7.4,10.4,8.9,9.0,1.0,0.5,14.7,15.5,0.0,0.1,0.0,.013,-2.9,-2.4,-5.4,-0.1,
23,Drew Gordon,24,PF,9,0,71,3.7,.428,.158,.105,10.2,17.7,13.7,4.8,0.7,0.0,28.7,17.1,-0.2,0.1,-0.1,-0.093,-7.1,-2.4,-9.5,-0.1,
24,JaVale McGee,27,C,6,0,61,6.8,.455,.000,.222,6.8,16.8,11.6,5.8,0.0,1.3,20.2,17.7,-0.1,0.0,-0.1,-0.052,-5.0,-2.7,-7.7,-0.1,
25,Malcolm Lee,24,SG,1,0,2,-19.7,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.0,-0.527,-18.0,-9.7,-27.6,0.0,
