Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Desmond Bane,24,SG,6,6,231,13.3,.548,.431,.250,2.9,13.7,7.9,14.4,0.6,0.0,11.7,26.4,0.1,0.2,0.3,.056,1.1,-0.2,0.8,0.2,
2,Jaren Jackson Jr.,23,C,6,6,220,14.1,.546,.301,.434,8.6,13.4,10.8,6.5,1.3,4.8,15.4,22.2,0.0,0.3,0.3,.072,-1.5,1.4,-0.1,0.1,
3,Ja Morant,23,PG,5,5,187,18.4,.524,.292,.245,4.1,15.2,9.2,34.4,2.3,0.5,12.6,30.1,0.0,0.3,0.3,.082,4.2,2.1,6.3,0.4,
4,Xavier Tillman Sr.,24,C,6,6,183,14.2,.551,.089,.111,8.8,18.5,13.3,15.9,1.1,1.9,7.8,11.7,0.3,0.2,0.5,.138,0.1,3.1,3.2,0.2,
5,Dillon Brooks,27,SF,6,6,167,2.4,.393,.545,.091,1.7,9.8,5.5,10.3,0.3,0.0,8.0,21.8,-0.4,0.1,-0.3,-0.082,-6.1,-1.4,-7.5,-0.2,
6,Tyus Jones,26,PG,6,1,120,7.9,.362,.528,.083,2.4,13.7,7.6,26.4,3.2,0.0,17.7,15.8,-0.2,0.2,0.0,-0.013,-4.5,2.2,-2.3,0.0,
7,Luke Kennard,26,SG,5,0,107,15.1,.727,.696,.174,4.4,15.3,9.5,9.7,1.8,0.0,3.9,10.1,0.3,0.1,0.4,.190,1.8,3.1,4.8,0.2,
8,Santi Aldama,22,PF,6,0,101,15.0,.576,.455,.061,6.6,20.6,13.1,10.9,1.4,0.0,5.6,14.9,0.2,0.1,0.3,.139,2.3,1.7,4.0,0.2,
9,David Roddy,21,PF,6,0,76,6.2,.391,.690,.034,5.0,18.7,11.4,7.7,0.0,2.3,3.3,16.8,-0.1,0.1,0.0,.002,-2.0,0.3,-1.6,0.0,
10,John Konchar,26,SF,5,0,49,5.3,.222,.444,.000,7.7,13.4,10.4,11.0,2.0,3.6,10.0,8.5,-0.1,0.1,0.0,.012,-5.4,3.4,-2.0,0.0,
11,Kenneth Lofton Jr.,20,PF,4,0,12,12.2,.394,.250,.250,7.9,18.2,12.7,15.6,0.0,0.0,0.0,30.9,0.0,0.0,0.0,-0.042,2.4,-2.6,-0.2,0.0,
12,Ziaire Williams,21,SF,4,0,12,-2.4,.357,.429,.000,0.0,18.2,8.5,27.0,0.0,0.0,22.2,31.4,-0.1,0.0,-0.1,-0.275,-6.3,-1.9,-8.2,0.0,
