Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Allen Iverson,30,PG,72,72,3103,25.9,.543,.122,.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,.165,5.8,-1.0,4.8,5.3,"MVP-10,AS,NBA3"
2,Andre Iguodala,22,SF,82,82,3086,14.8,.598,.230,.507,4.4,13.8,9.1,12.9,2.3,0.5,15.4,14.7,4.9,2.6,7.5,.116,0.2,0.4,0.6,2.0,DPOY-12
3,Chris Webber,32,PF,75,75,2893,18.4,.482,.054,.245,7.4,22.6,15.0,16.4,1.8,1.6,10.4,27.7,1.1,3.3,4.4,.074,0.6,-0.7,-0.1,1.3,
4,Kyle Korver,24,SF,82,43,2563,12.3,.577,.576,.156,1.2,11.1,6.2,10.2,1.3,0.8,10.8,16.2,3.2,1.3,4.6,.086,0.3,-0.9,-0.6,0.9,
5,John Salmons,26,SG,82,24,2059,10.7,.508,.167,.384,2.7,9.8,6.3,16.7,1.8,0.5,17.0,16.3,0.5,1.2,1.7,.040,-2.3,-0.3,-2.7,-0.3,
6,Samuel Dalembert,24,C,66,52,1761,14.2,.568,.003,.358,10.6,25.4,18.0,2.2,1.0,6.9,20.0,13.8,0.9,2.6,3.6,.097,-2.9,1.2,-1.8,0.1,
7,Steven Hunter,24,C,69,35,1312,13.9,.598,.000,.474,9.8,14.4,12.1,2.1,0.5,4.4,15.4,14.4,1.5,1.0,2.5,.090,-1.4,-0.9,-2.4,-0.1,
8,Kevin Ollie,33,SG,70,23,1069,7.8,.491,.017,.282,1.4,9.3,5.4,13.8,1.6,0.2,12.9,9.6,0.5,0.5,1.1,.048,-3.8,0.1,-3.7,-0.5,
9,Matt Barnes,25,PF,50,0,538,10.8,.578,.100,.391,8.9,12.2,10.5,6.3,1.5,1.0,15.7,13.0,0.6,0.4,1.0,.090,-3.1,-0.3,-3.4,-0.2,
10,Shavlik Randolph,22,PF,57,1,487,12.6,.511,.000,.732,13.2,18.8,16.0,5.9,2.0,1.9,14.1,14.0,0.5,0.5,1.1,.105,-2.5,-0.4,-2.9,-0.1,
11,Michael Bradley,26,PF,46,1,367,8.4,.417,.063,.038,12.7,21.4,17.1,6.9,0.7,1.4,19.1,12.3,-0.2,0.3,0.1,.019,-3.2,-1.4,-4.6,-0.2,
12,Lee Nailon,30,PF,22,0,237,14.5,.537,.000,.188,11.3,9.4,10.4,5.0,1.7,1.3,10.4,18.6,0.3,0.2,0.5,.096,-1.4,-1.3,-2.7,0.0,
13,Willie Green,24,SG,10,2,153,8.6,.513,.288,.076,0.8,10.7,5.7,5.7,0.7,0.0,15.0,23.9,-0.2,0.0,-0.1,-0.038,-2.7,-3.4,-6.1,-0.2,
14,Lou Williams,19,PG,30,0,145,9.0,.485,.173,.250,2.4,12.9,7.7,11.6,1.8,0.0,18.4,22.2,-0.2,0.1,-0.1,-0.036,-4.9,-1.4,-6.3,-0.2,
15,James Thomas,25,PF,15,0,124,4.1,.574,.000,1.077,7.5,21.7,14.6,1.2,0.0,1.8,26.8,9.6,0.0,0.1,0.1,.033,-7.3,-0.8,-8.1,-0.2,
16,Deng Gai,23,C,2,0,5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.015,-3.6,-3.5,-7.2,0.0,
17,Zendon Hamilton,30,C,1,0,3,8.2,.266,.000,2.000,0.0,0.0,0.0,0.0,17.3,0.0,0.0,28.6,0.0,0.0,0.0,-0.057,-12.4,5.1,-7.3,0.0,
