Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Derrick McKey,23,SF,80,80,2748,15.6,.557,.024,.425,7.0,14.2,10.4,9.7,1.6,1.9,14.6,20.0,4.0,2.3,6.3,.110,0.9,0.2,1.1,2.2,
2,Michael Cage,28,C,82,82,2595,14.5,.540,.000,.329,13.3,24.2,18.6,3.6,1.5,1.1,11.3,13.4,3.9,2.8,6.8,.125,0.7,-0.7,0.0,1.3,
3,Xavier McDaniel,26,SF,69,67,2432,17.9,.533,.014,.270,7.7,14.2,10.8,11.4,1.5,1.0,11.9,26.9,3.6,1.8,5.4,.106,1.7,-1.1,0.6,1.6,
4,Nate McMillan,25,SG,82,69,2338,14.4,.517,.071,.349,6.1,14.4,10.1,32.7,3.0,1.0,27.0,12.4,2.3,2.6,4.9,.101,0.4,2.2,2.6,2.7,
5,Dale Ellis,29,SG,55,49,2033,19.0,.580,.253,.233,5.0,8.9,6.9,8.7,1.5,0.2,9.6,25.3,5.4,1.0,6.4,.150,4.0,-1.5,2.5,2.3,
6,Dana Barros,22,PG,81,25,1630,12.8,.497,.322,.149,2.4,7.3,4.7,18.3,1.6,0.0,13.5,23.3,1.1,0.7,1.8,.053,0.8,-1.4,-0.6,0.6,
7,Sedale Threatt,28,PG,65,18,1481,17.4,.557,.053,.262,3.3,5.9,4.6,21.9,2.2,0.3,10.3,21.0,3.7,0.9,4.6,.149,1.8,0.2,2.0,1.5,
8,Shawn Kemp,20,PF,81,1,1120,15.9,.531,.028,.375,14.7,21.8,18.1,3.4,2.1,4.0,17.8,22.4,0.5,1.6,2.1,.092,-2.2,0.2,-2.0,0.0,
9,Olden Polynice,25,C,79,7,1085,12.4,.541,.007,.343,13.3,19.3,16.2,1.9,1.2,1.2,9.5,14.1,1.6,0.9,2.5,.111,-1.3,-1.0,-2.3,-0.1,
10,Brad Sellers,27,PF,45,0,587,9.9,.483,.015,.308,6.0,8.1,7.0,7.5,0.9,2.1,13.1,18.4,0.2,0.3,0.5,.038,-1.9,-0.8,-2.7,-0.1,
11,Avery Johnson,24,PG,53,10,575,11.6,.439,.028,.282,4.1,4.7,4.4,36.4,2.3,0.1,23.1,15.1,0.2,0.3,0.5,.043,-0.1,-0.8,-0.8,0.2,
12,Quintin Dailey,29,SG,30,2,491,10.0,.459,.021,.275,4.1,8.2,6.1,10.3,1.2,0.0,11.2,25.8,-0.1,0.2,0.1,.012,-3.6,-1.4,-5.0,-0.4,
13,Jim Farmer,25,SG,38,0,400,15.5,.510,.133,.394,4.8,7.9,6.3,9.6,2.1,0.2,10.2,27.7,0.5,0.3,0.7,.087,-0.2,-0.9,-1.1,0.1,
14,Steve Johnson,32,C,21,0,242,11.8,.555,.000,.389,8.9,15.6,12.1,9.8,0.6,1.3,19.2,22.5,0.1,0.2,0.2,.047,-3.2,-0.5,-3.6,-0.1,
15,Scott Meents,26,PF,26,0,148,11.9,.508,.000,.523,5.3,19.0,11.9,6.4,1.4,1.3,14.3,17.8,0.1,0.1,0.2,.066,-1.7,0.1,-1.6,0.0,
