Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jerry Stackhouse,26,SG,80,80,3215,21.8,.521,.245,.420,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,.137,5.8,-0.7,5.1,5.8,"MVP-14,AS"
2,Ben Wallace,26,C,80,80,2760,14.8,.470,.009,.542,11.5,29.6,20.4,6.8,2.0,4.8,17.7,10.4,1.0,6.0,7.0,.121,-0.6,2.5,1.9,2.7,DPOY-5
3,Chucky Atkins,26,PG,81,75,2363,12.2,.481,.356,.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,.057,-0.6,-1.0,-1.6,0.3,
4,Joe Smith,25,PF,69,59,1941,14.6,.475,.007,.375,8.7,18.6,13.5,7.1,1.2,1.8,9.0,21.9,1.9,2.5,4.4,.110,-1.6,-0.2,-1.9,0.1,
5,Michael Curry,32,SG,68,58,1485,7.5,.507,.028,.229,1.5,7.4,4.4,13.9,0.9,0.1,14.8,12.0,0.8,0.9,1.7,.055,-4.2,0.0,-4.3,-0.9,
6,Mateen Cleaves,23,PG,78,8,1268,9.0,.458,.043,.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,-1.3,1.2,-0.1,-0.006,-4.5,-0.7,-5.2,-1.0,
7,Mikki Moore,25,C,81,2,1154,12.9,.552,.004,.485,11.0,18.4,14.7,4.6,1.1,3.7,18.5,15.0,1.1,1.6,2.8,.116,-3.4,0.8,-2.6,-0.2,
8,Dana Barros,33,PG,60,0,1079,14.3,.534,.255,.194,0.6,8.9,4.7,18.0,1.4,0.1,11.8,20.4,1.4,0.8,2.3,.101,0.1,-0.4,-0.3,0.5,
9,Jerome Williams,27,PF,33,2,804,14.9,.501,.010,.448,12.8,24.4,18.5,6.4,2.5,0.9,16.3,15.5,0.7,1.4,2.1,.125,-0.9,0.5,-0.4,0.3,
10,Corliss Williamson,27,SF,27,9,800,18.4,.557,.000,.332,7.0,15.7,11.2,6.7,2.2,0.7,10.9,22.4,1.3,1.1,2.4,.144,0.6,1.1,1.7,0.7,
11,Billy Owens,31,PF,45,14,793,10.5,.400,.087,.174,11.1,16.7,13.8,11.1,2.0,1.1,13.6,15.7,-0.3,1.1,0.8,.048,-2.6,0.7,-1.9,0.0,
12,Jud Buechler,32,SF,57,3,737,9.9,.570,.470,.073,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,0.8,0.7,1.5,.098,-1.8,0.9,-0.9,0.2,
13,Eric Montross,29,C,42,20,568,5.0,.404,.000,.215,8.0,19.4,13.6,4.1,0.7,2.9,21.8,12.9,-0.8,0.7,-0.1,-0.006,-6.6,0.0,-6.7,-0.7,
14,John Wallace,26,SF,40,0,527,11.2,.463,.064,.191,5.0,12.0,8.4,8.0,1.2,2.1,12.3,24.0,-0.3,0.6,0.3,.027,-3.2,-0.4,-3.6,-0.2,
15,Cedric Ceballos,31,SF,13,0,166,13.0,.497,.563,.141,4.4,12.5,8.4,7.4,1.8,1.3,10.7,22.0,0.1,0.2,0.3,.081,-0.1,-0.4,-0.4,0.1,
16,Brian Cardinal,23,PF,15,0,126,4.7,.398,.161,.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,-0.2,0.2,0.0,-0.009,-7.7,1.4,-6.3,-0.1,
17,Kornél Dávid,29,SF,10,0,69,12.2,.455,.000,.000,9.1,20.6,14.7,7.4,2.9,1.0,15.4,16.3,0.0,0.1,0.1,.067,-3.2,1.9,-1.3,0.0,
