Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Chuck Person,23,SF,79,71,2807,13.9,.501,.141,.157,6.7,14.2,10.5,16.5,1.3,0.2,13.6,23.3,0.6,2.8,3.3,.057,0.3,-0.7,-0.4,1.1,
2,Vern Fleming,25,PG,80,80,2733,17.5,.573,.015,.335,4.3,10.3,7.3,29.3,2.1,0.2,15.3,17.7,5.6,2.8,8.4,.148,1.9,0.9,2.8,3.3,
3,Steve Stipanovich,27,C,80,80,2692,15.0,.558,.018,.379,6.4,20.4,13.5,9.5,1.6,1.5,13.9,17.6,3.0,3.8,6.9,.123,-0.3,1.3,1.0,2.1,
4,Wayman Tisdale,23,PF,79,57,2378,16.1,.558,.002,.315,7.8,14.8,11.3,6.6,1.1,0.8,11.3,22.7,3.3,2.5,5.7,.116,0.1,-0.7,-0.7,0.8,
5,John Long,31,SG,81,81,2022,15.2,.539,.088,.208,3.9,8.5,6.2,12.9,2.0,0.3,11.7,22.7,2.0,1.9,3.9,.093,0.2,0.0,0.3,1.2,
6,Herb Williams,29,C,75,37,1966,12.0,.463,.008,.234,6.5,19.6,13.1,7.0,0.9,4.4,12.8,19.9,-1.1,2.9,1.8,.044,-3.2,1.1,-2.1,0.0,
7,Reggie Miller,22,SG,82,1,1840,14.0,.580,.274,.297,5.7,5.6,5.7,10.2,1.4,0.6,12.5,18.6,2.9,1.3,4.2,.110,1.1,-0.4,0.7,1.3,
8,Ron Anderson,29,SF,74,1,1097,16.2,.544,.005,.323,8.9,12.6,10.8,10.5,1.8,0.3,12.8,22.0,1.3,1.2,2.5,.108,0.9,-0.3,0.6,0.7,
9,Stuart Gray,24,C,74,0,807,9.9,.498,.005,.378,9.6,24.3,17.0,7.2,0.7,2.3,18.2,14.4,0.0,1.2,1.1,.067,-3.9,0.6,-3.3,-0.3,
10,Scott Skiles,23,PG,51,2,760,9.5,.479,.096,.258,1.6,7.9,4.8,31.2,1.4,0.2,24.6,17.1,-0.3,0.6,0.3,.016,-2.9,-1.3,-4.2,-0.4,
11,Clinton Wheeler,28,PG,59,0,513,12.0,.507,.000,.258,4.1,4.5,4.3,26.7,3.4,0.2,26.1,16.4,-0.2,0.6,0.4,.039,-1.3,0.9,-0.4,0.2,
12,Greg Dreiling,25,C,20,0,74,10.5,.598,.000,1.529,4.5,20.6,12.6,8.8,1.3,3.2,27.9,22.5,0.0,0.1,0.1,.048,-6.7,1.5,-5.2,-0.1,
13,Brian Rowsom,22,PF,4,0,16,8.2,.347,.000,1.000,6.9,27.2,17.1,7.2,3.1,0.0,10.4,25.4,0.0,0.0,0.0,-0.008,-7.8,-0.6,-8.4,0.0,
