Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,DeAndre Jordan,28,C,81,81,2570,21.8,.673,.003,.737,13.3,34.6,24.2,5.7,1.0,4.3,13.1,15.3,7.2,4.6,11.8,.221,2.5,0.9,3.3,3.5,"AS,NBA3"
2,JJ Redick,32,SG,78,78,2198,14.8,.599,.526,.227,0.6,7.9,4.4,7.8,1.2,0.5,9.1,22.0,3.3,1.5,4.8,.105,1.6,-1.2,0.4,1.4,
3,Jamal Crawford,36,SG,82,1,2157,12.0,.525,.370,.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,0.5,1.4,1.9,.043,-0.8,-1.3,-2.1,0.0,6MOY-7
4,Blake Griffin,27,PF,61,61,2076,22.6,.569,.116,.434,6.2,20.2,13.4,24.5,1.4,0.9,10.9,28.0,5.4,2.4,7.7,.179,4.2,0.5,4.7,3.5,
5,Austin Rivers,24,SG,74,29,2054,11.4,.545,.409,.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3,1.2,1.3,2.5,.059,-1.2,-1.0,-2.2,-0.1,
6,Chris Paul,31,PG,61,61,1921,26.2,.614,.385,.331,2.4,15.0,8.8,46.8,3.1,0.3,14.0,24.4,7.9,2.6,10.6,.264,6.3,2.5,8.7,5.2,
7,Luc Mbah a Moute,30,SF,80,76,1787,10.2,.581,.291,.230,2.8,7.7,5.3,3.1,2.3,1.6,10.0,11.6,1.3,1.8,3.1,.084,-1.6,1.3,-0.2,0.8,
8,Raymond Felton,32,PG,80,11,1700,10.9,.496,.280,.125,2.2,11.9,7.2,16.3,1.9,1.1,13.3,16.5,0.2,1.8,1.9,.055,-2.0,0.7,-1.3,0.3,
9,Marreese Speights,29,C,82,2,1286,17.5,.584,.505,.250,7.9,24.1,16.2,8.0,0.9,2.6,10.2,23.6,2.5,1.7,4.2,.155,0.9,-0.3,0.6,0.9,
10,Wesley Johnson,29,SF,68,3,810,8.4,.448,.590,.085,3.7,20.8,12.5,3.9,1.8,3.0,8.0,12.5,-0.3,1.2,0.9,.051,-3.1,1.1,-2.0,0.0,
11,Brandon Bass,31,PF,52,0,577,19.7,.650,.016,.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,.186,1.2,-0.8,0.4,0.4,
12,Alan Anderson,34,SF,30,0,308,5.0,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,.020,-4.2,-1.9,-6.1,-0.3,
13,Paul Pierce,39,SF,25,7,277,5.7,.535,.614,.186,0.4,18.5,9.7,5.0,0.7,1.5,17.4,14.8,-0.2,0.3,0.1,.015,-4.7,0.1,-4.7,-0.2,
14,Diamond Stone,19,C,7,0,24,-1.2,.339,.000,.308,4.8,22.7,14.0,0.0,0.0,3.4,11.9,31.3,-0.1,0.0,-0.1,-0.211,-14.9,-5.9,-20.8,-0.1,
15,Brice Johnson,22,PF,3,0,9,17.2,.286,.000,.000,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,-0.1,0.0,0.0,-0.165,-6.6,4.5,-2.0,0.0,
