Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rick Fox,26,SF,81,81,2588,16.1,.547,.293,.274,6.7,13.0,9.7,22.6,2.2,1.1,17.2,20.9,3.0,2.2,5.1,.095,1.2,0.2,1.3,2.2,
2,Dana Barros,28,PG,80,25,2328,15.6,.596,.457,.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,.116,2.3,-1.1,1.1,1.8,
3,David Wesley,25,PG,82,53,2104,18.5,.585,.370,.391,3.5,10.7,7.0,29.2,2.4,0.4,15.6,20.9,4.8,1.6,6.3,.144,2.8,0.0,2.8,2.5,
4,Dino Radja,28,PF,53,52,1984,18.0,.536,.000,.323,6.2,23.7,14.7,7.2,1.2,2.9,10.7,23.6,1.8,2.2,4.0,.096,0.2,-0.5,-0.3,0.9,
5,Greg Minor,24,SG,78,47,1761,14.0,.535,.042,.203,5.8,10.7,8.2,13.5,1.0,0.4,10.1,18.9,2.3,0.7,3.0,.082,-0.3,-1.3,-1.6,0.2,
6,Todd Day,26,SG,71,12,1636,14.1,.493,.371,.350,4.1,9.8,6.9,10.0,2.3,2.1,10.2,25.2,0.6,1.4,2.0,.057,-0.4,-0.4,-0.8,0.5,
7,Dee Brown,27,PG,65,23,1591,13.7,.507,.357,.256,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,1.4,1.0,2.4,.073,-0.5,0.0,-0.5,0.6,
8,Eric Williams,23,SF,64,6,1470,13.3,.506,.018,.546,6.8,9.8,8.3,7.6,1.9,0.5,11.5,22.4,0.7,0.9,1.6,.052,-1.7,-1.2,-2.9,-0.3,
9,Eric Montross,24,C,61,59,1432,10.6,.546,.000,.384,9.1,18.7,13.8,4.6,0.7,1.4,17.0,14.7,0.3,1.0,1.3,.044,-2.9,-1.1,-4.0,-0.7,
10,Pervis Ellison,28,C,69,29,1431,13.1,.527,.000,.397,11.5,24.1,17.7,6.3,1.4,4.8,19.5,12.9,0.6,1.9,2.6,.086,-2.5,1.2,-1.3,0.3,
11,Alton Lister,37,C,57,14,647,9.9,.539,.000,.646,10.1,33.9,21.7,3.2,0.5,4.2,26.3,11.1,-0.1,0.9,0.8,.061,-4.9,0.8,-4.1,-0.3,
12,Junior Burrough,23,PF,61,3,495,9.0,.448,.000,.547,9.9,14.8,12.3,4.6,1.5,1.4,15.9,21.8,-0.6,0.4,-0.2,-0.018,-5.5,-2.0,-7.5,-0.7,
13,Sherman Douglas,29,PG,10,4,234,9.3,.482,.083,.476,2.8,8.3,5.5,26.0,0.4,0.0,22.2,24.0,-0.3,0.0,-0.3,-0.053,-3.2,-3.6,-6.8,-0.3,
14,Doug Smith,26,PF,17,2,92,4.2,.388,.000,.205,14.3,12.5,13.4,6.8,1.6,0.0,20.6,25.0,-0.3,0.1,-0.2,-0.123,-8.9,-3.3,-12.2,-0.2,
15,Thomas Hamilton,20,C,11,0,70,4.3,.321,.000,.581,15.6,19.7,17.6,2.1,0.0,9.0,18.8,29.5,-0.4,0.1,-0.3,-0.213,-11.3,-3.4,-14.7,-0.2,
16,Todd Mundt,25,C,9,0,33,3.7,.333,.000,.000,3.3,7.0,5.1,4.3,1.5,2.1,0.0,11.7,0.0,0.0,0.0,-0.016,-7.3,-1.2,-8.5,-0.1,
17,Charles Claxton,25,C,3,0,7,0.2,.347,.000,1.000,31.2,0.0,16.0,0.0,0.0,10.0,25.8,23.9,0.0,0.0,0.0,-0.179,-16.3,-2.6,-18.9,0.0,
18,Larry Sykes,22,PF,1,0,2,0.0,,,,54.7,57.4,56.0,0.0,0.0,0.0,100.0,21.5,0.0,0.0,0.0,-0.397,-10.9,-6.9,-17.7,0.0,
