Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,LeBron James,28,PF,76,76,2877,31.6,.640,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,.322,9.3,2.4,11.7,9.9,"MVP-1,DPOY-2,AS,NBA1"
2,Chris Bosh,28,C,74,74,2454,20.0,.592,.082,.333,7.0,17.6,12.6,8.4,1.4,3.4,11.0,22.7,5.6,3.4,9.0,.175,1.5,-0.2,1.3,2.1,AS
3,Dwyane Wade,31,SG,69,69,2391,24.0,.571,.060,.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,6.1,3.5,9.6,.192,3.7,0.7,4.4,3.8,"MVP-10,DPOY-16,AS,NBA3"
4,Mario Chalmers,26,PG,77,77,2068,13.3,.576,.569,.212,1.2,8.6,5.1,19.4,3.0,0.5,17.1,16.1,2.6,2.5,5.2,.120,-0.5,0.9,0.4,1.3,
5,Ray Allen,37,SG,79,0,2035,14.7,.599,.510,.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,.126,1.1,-0.8,0.3,1.2,
6,Shane Battier,34,SF,72,20,1786,10.7,.623,.873,.105,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11.0,2.8,1.6,4.4,.119,0.9,0.1,1.0,1.4,6MOY-12
7,Norris Cole,24,PG,80,4,1590,7.9,.483,.231,.188,1.5,8.2,5.0,15.2,1.9,0.4,18.4,17.0,-0.8,1.4,0.6,.019,-4.3,-0.6,-4.9,-1.2,
8,Udonis Haslem,32,PF,75,59,1414,9.9,.535,.000,.179,9.0,25.3,17.6,3.8,1.1,0.9,14.2,10.7,1.2,2.0,3.2,.108,-2.6,-0.5,-3.2,-0.4,
9,Mike Miller,32,SF,59,17,900,13.5,.596,.758,.048,2.6,18.0,10.7,16.2,1.2,0.4,12.9,14.4,1.6,1.0,2.6,.137,1.8,-0.3,1.5,0.8,
10,Rashard Lewis,33,PF,55,9,792,11.1,.530,.526,.181,3.1,15.0,9.4,5.7,1.4,1.4,10.9,18.2,0.3,0.9,1.2,.071,-1.5,-1.0,-2.5,-0.1,
11,Chris Andersen,34,C,42,0,624,17.4,.631,.024,.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,.207,-1.0,0.8,-0.2,0.3,
12,Joel Anthony,30,C,62,3,566,10.4,.542,.000,.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,0.4,0.8,1.2,.100,-2.3,0.9,-1.3,0.1,
13,James Jones,32,SF,38,0,221,8.1,.478,.869,.066,0.0,11.6,6.1,8.4,0.5,2.2,4.6,14.2,0.1,0.2,0.2,.054,-2.0,-1.0,-3.0,-0.1,
14,Juwan Howard,39,PF,7,2,51,9.9,.540,.000,.053,0.0,18.3,9.7,19.8,0.0,0.0,17.1,22.0,0.0,0.0,0.0,.039,-7.3,-2.0,-9.3,-0.1,
15,Jarvis Varnado,24,PF,8,0,40,-4.1,.333,.000,.000,3.3,14.6,9.2,6.5,0.0,4.1,62.5,9.6,-0.1,0.0,-0.1,-0.122,-13.0,-0.5,-13.5,-0.1,
16,Josh Harrellson,23,C,6,0,31,8.5,.506,.556,.222,12.6,15.0,13.9,0.0,1.7,2.6,23.3,19.9,0.0,0.0,0.0,.002,-4.5,-1.4,-5.9,0.0,
17,Terrel Harris,25,SG,7,0,29,7.2,.434,.125,1.000,18.0,20.1,19.1,9.5,0.0,0.0,25.8,25.6,0.0,0.0,0.0,-0.040,-5.2,-4.6,-9.8,-0.1,
18,Dexter Pittman,24,C,4,0,12,17.0,.600,.000,.000,43.5,29.1,35.9,0.0,0.0,0.0,28.6,27.9,0.0,0.0,0.0,.114,-6.0,-5.4,-11.3,0.0,
