Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jayson Tatum,21,PF,17,17,690,20.7,.563,.377,.368,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,.163,4.5,1.8,6.3,1.4,
2,Jaylen Brown,23,SG,17,17,672,17.1,.586,.417,.219,4.2,16.5,10.6,9.9,1.9,1.3,11.5,23.7,0.7,1.1,1.8,.130,2.2,1.1,3.3,0.9,
3,Marcus Smart,25,SG,17,16,648,11.6,.552,.621,.283,1.8,13.2,7.7,18.0,1.6,1.2,16.8,18.4,0.2,1.0,1.2,.088,-0.8,1.3,0.4,0.4,
4,Kemba Walker,29,PG,17,17,628,16.9,.573,.492,.316,1.1,10.8,6.2,22.5,1.2,1.1,9.9,23.0,1.1,0.8,1.9,.148,2.6,0.4,3.0,0.8,
5,Daniel Theis,27,C,17,17,482,13.4,.578,.222,.282,7.8,19.9,14.1,7.8,0.6,4.3,10.2,13.6,0.7,0.8,1.5,.148,-1.0,1.5,0.5,0.3,
6,Brad Wanamaker,30,PG,17,0,273,11.1,.626,.450,.267,0.9,12.7,7.0,16.1,2.2,1.5,21.2,13.9,0.2,0.5,0.6,.111,-1.7,2.9,1.2,0.2,
7,Grant Williams,21,PF,17,0,170,10.6,.773,.654,.385,4.8,12.1,8.6,5.0,0.6,2.9,11.6,9.0,0.4,0.2,0.6,.165,-0.6,2.7,2.1,0.2,
8,Gordon Hayward,29,SF,5,1,157,11.0,.504,.480,.160,2.2,11.7,7.2,13.5,2.2,1.3,11.6,17.2,0.0,0.3,0.2,.076,-0.5,0.3,-0.1,0.1,
9,Robert Williams,22,C,13,0,149,19.8,.713,.032,.194,17.3,21.0,19.2,10.6,1.0,4.0,17.2,12.2,0.4,0.3,0.7,.221,1.7,1.6,3.3,0.2,
10,Semi Ojeleye,25,PF,13,0,122,1.6,.364,.821,.071,1.9,8.8,5.5,1.1,1.2,0.0,3.3,10.9,-0.2,0.1,0.0,-0.006,-4.0,-0.1,-4.1,-0.1,
11,Enes Freedom,27,C,11,0,102,18.9,.539,.024,.238,21.8,25.4,23.7,12.0,0.0,0.0,7.9,22.0,0.2,0.1,0.4,.178,0.7,-1.9,-1.2,0.0,
12,Romeo Langford,20,SG,7,0,46,2.7,.460,.200,.200,0.0,7.0,3.7,6.2,1.1,0.0,15.5,12.5,-0.1,0.0,0.0,-0.009,-4.8,0.6,-4.2,0.0,
13,Javonte Green,26,SG,1,0,6,14.1,.750,1.000,.000,0.0,18.0,9.4,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,.181,2.4,0.3,2.7,0.0,
14,Carsen Edwards,21,SG,1,0,3,3.8,,,,0.0,36.0,18.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.079,-2.9,3.0,0.1,0.0,
15,Tacko Fall,24,C,2,0,3,39.8,.798,.000,2.000,0.0,36.0,18.7,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,.364,11.4,1.3,12.7,0.0,
16,Tremont Waters,22,PG,1,0,2,0.6,.000,1.000,.000,0.0,54.0,28.1,63.3,0.0,0.0,0.0,22.3,0.0,0.0,0.0,-0.222,-8.7,0.4,-8.3,0.0,
17,Vincent Poirier,26,C,1,0,2,44.6,,,,0.0,0.0,0.0,63.3,24.9,0.0,,0.0,0.0,0.0,0.0,.564,17.4,33.0,50.4,0.0,
