Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Terry Davis,25,PF,75,74,2462,11.7,.484,.009,.326,10.4,21.3,15.4,4.3,0.7,0.7,14.0,19.0,-0.6,0.5,-0.1,-0.002,-1.8,-3.0,-4.8,-1.7,
2,Derek Harper,31,SG,62,60,2108,15.9,.522,.274,.337,2.0,4.6,3.2,25.7,1.8,0.5,11.2,23.5,2.9,-0.2,2.7,.062,2.5,-1.9,0.6,1.4,
3,Sean Rooks,23,C,72,68,2087,14.7,.528,.003,.521,9.3,19.3,13.9,7.3,0.9,2.5,14.8,21.0,0.8,0.7,1.5,.034,-0.7,-1.7,-2.4,-0.2,
4,Mike Iuzzolino,25,PG,70,23,1769,12.7,.561,.301,.312,1.7,7.3,4.3,27.4,1.3,0.2,19.2,15.5,1.8,-0.3,1.5,.041,0.0,-2.4,-2.5,-0.2,
5,Walter Bond,23,SG,74,38,1578,9.0,.462,.074,.296,3.3,10.8,6.7,11.8,2.3,0.7,14.9,19.4,-1.2,0.4,-0.8,-0.024,-4.4,-0.6,-5.0,-1.2,
6,Doug Smith,23,PF,61,42,1524,10.3,.454,.006,.111,6.3,18.0,11.6,11.1,1.5,2.2,14.1,21.7,-1.6,0.7,-0.9,-0.029,-4.3,-0.9,-5.2,-1.2,
7,Randy White,25,PF,64,20,1433,13.2,.498,.078,.341,10.7,17.9,14.0,5.4,2.1,2.0,14.8,20.7,0.0,0.8,0.8,.026,-2.5,-1.1,-3.6,-0.6,
8,Brian Howard,25,SF,68,22,1295,9.7,.482,.017,.227,5.1,13.4,8.8,7.8,2.0,1.7,13.0,16.5,-0.2,0.5,0.3,.011,-4.0,-0.3,-4.2,-0.7,
9,Donald Hodge,23,C,79,8,1267,8.3,.441,.000,.260,7.3,18.8,12.5,8.8,1.3,1.9,16.8,17.2,-1.3,0.5,-0.9,-0.032,-4.8,-1.1,-5.9,-1.3,
10,Jim Jackson,22,SF,28,28,938,11.0,.451,.157,.197,4.4,10.1,7.0,23.1,2.1,0.8,18.5,27.0,-1.8,0.2,-1.6,-0.081,-2.0,-2.5,-4.5,-0.6,
11,Dexter Cambridge,23,SF,53,13,885,12.1,.520,.013,.317,9.9,10.6,10.2,10.4,1.3,0.4,15.1,19.3,0.4,0.0,0.4,.022,-1.6,-2.4,-4.0,-0.5,
12,Morlon Wiley,26,PG,33,13,641,10.3,.528,.595,.104,3.1,6.7,4.7,22.5,2.9,0.1,22.0,14.7,0.1,0.2,0.3,.019,-1.6,-0.5,-2.1,0.0,
13,Tim Legler,26,SG,30,0,630,13.3,.533,.273,.298,3.9,6.2,5.0,11.5,1.8,0.6,9.4,19.2,0.8,0.0,0.8,.061,-0.3,-1.5,-1.7,0.0,
14,Tracy Moore,27,SG,39,1,510,14.8,.511,.269,.245,4.5,6.7,5.5,15.4,2.0,0.5,10.4,24.6,0.5,0.0,0.5,.046,1.2,-1.4,-0.2,0.2,
15,Steve Bardo,24,SG,23,0,175,7.7,.367,.097,.274,5.7,18.3,11.4,23.9,2.2,1.1,19.7,20.1,-0.4,0.1,-0.3,-0.084,-4.9,-0.3,-5.1,-0.1,
16,Radisav Ćurčić,27,C,20,0,166,13.5,.510,.000,.878,10.2,22.9,16.0,10.2,2.0,0.8,12.3,15.9,0.2,0.1,0.3,.086,-2.2,-0.3,-2.6,0.0,
17,Lamont Strothers,24,SG,9,0,138,5.7,.382,.213,.164,5.8,5.2,5.5,14.3,2.8,0.0,18.7,23.7,-0.4,0.0,-0.4,-0.141,-5.2,-1.9,-7.1,-0.2,
18,Walter Palmer,24,C,20,0,124,12.8,.492,.000,.158,9.6,30.6,19.2,6.9,0.4,2.6,14.1,23.3,-0.1,0.1,0.0,.006,-4.1,-1.8,-5.9,-0.1,
