Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jack Sikma,32,PF,82,82,2923,17.4,.558,.013,.329,7.5,19.8,13.7,14.1,1.6,1.6,11.5,19.7,5.4,3.9,9.4,.154,1.3,1.1,2.3,3.2,
2,Terry Cummings,26,PF,76,76,2629,17.4,.516,.002,.292,7.9,15.8,11.8,11.6,1.5,1.0,9.8,27.9,2.2,2.9,5.2,.094,0.7,-0.7,-0.1,1.3,
3,Paul Pressey,29,SG,75,75,2484,17.0,.572,.056,.509,5.9,11.1,8.5,29.6,2.2,0.8,18.7,17.9,4.3,2.7,7.1,.136,1.8,1.3,3.0,3.2,DPOY-8
4,Randy Breuer,27,C,81,73,2258,15.3,.530,.000,.363,9.5,18.0,13.7,6.7,1.0,2.8,10.5,19.0,2.4,2.8,5.1,.109,-0.1,0.0,-0.1,1.1,
5,John Lucas,34,PG,81,22,1766,16.1,.529,.239,.257,1.8,8.3,5.1,32.1,2.5,0.1,15.1,19.7,2.2,1.7,3.9,.106,1.8,0.3,2.0,1.8,
6,Sidney Moncrief,30,SG,56,51,1428,15.2,.569,.070,.441,4.6,9.6,7.1,20.4,1.4,0.6,14.0,18.2,2.5,1.2,3.7,.123,1.1,-0.2,0.9,1.1,
7,Jerry Reynolds,25,SF,62,21,1161,13.6,.512,.017,.368,6.8,8.7,7.8,13.0,3.1,1.6,17.6,21.4,-0.2,1.5,1.3,.055,-1.0,1.3,0.3,0.7,
8,Larry Krystkowiak,23,PF,50,7,1050,11.1,.558,.011,.477,9.4,15.4,12.4,6.5,0.8,0.5,15.0,15.2,1.1,1.0,2.1,.096,-2.0,-0.9,-2.9,-0.2,
9,Craig Hodges,27,SG,43,0,983,11.3,.548,.342,.113,1.4,3.9,2.6,16.0,1.5,0.0,11.9,17.6,0.9,0.6,1.5,.073,-0.2,-0.6,-0.8,0.3,
10,Ricky Pierce,28,SG,37,0,965,16.6,.561,.029,.251,3.5,6.2,4.8,12.7,1.1,0.4,9.6,26.0,1.6,0.6,2.2,.107,1.0,-1.4,-0.4,0.4,
11,Paul Mokeski,31,C,60,0,848,8.8,.519,.019,.343,9.3,20.1,14.7,3.5,1.6,1.9,16.9,14.4,0.1,1.2,1.3,.073,-5.1,0.6,-4.5,-0.5,
12,Pace Mannion,27,SF,35,1,477,8.0,.458,.102,.314,4.0,8.0,6.0,15.4,1.3,0.9,15.2,14.0,0.0,0.4,0.3,.032,-3.1,0.5,-2.6,-0.1,
13,John Stroeder,29,PF,41,0,271,7.0,.423,.025,.380,10.0,19.6,14.8,9.9,0.5,2.6,20.7,18.1,-0.4,0.3,-0.1,-0.013,-6.0,-0.1,-6.1,-0.3,
14,Jay Humphries,25,PG,18,0,252,8.2,.407,.037,.259,2.2,8.1,5.1,21.1,3.9,0.2,24.0,13.2,-0.3,0.3,0.0,.007,-4.8,1.7,-3.1,-0.1,
15,Conner Henry,24,SG,14,2,145,6.2,.363,.146,.171,3.9,10.9,7.4,26.3,1.4,0.4,24.1,16.9,-0.3,0.1,-0.2,-0.058,-3.3,-0.8,-4.1,-0.1,
16,Rickie Winslow,23,SF,7,0,45,-3.4,.252,.077,.154,7.5,10.0,8.8,5.7,1.1,0.0,22.4,16.7,-0.2,0.0,-0.2,-0.165,-11.9,-2.9,-14.8,-0.1,
17,Charles Davis,29,SF,5,0,39,0.9,.333,.111,.000,2.9,5.8,4.3,11.0,2.5,1.5,21.7,24.8,-0.2,0.0,-0.2,-0.201,-7.0,-1.1,-8.1,-0.1,
18,Dave Hoppen,23,C,3,0,35,8.2,.446,.000,.273,12.9,9.7,11.3,7.8,0.0,0.0,14.0,17.2,0.0,0.0,0.0,.023,-3.5,-3.7,-7.2,0.0,
19,Andre Moore,23,SF,3,0,16,4.9,.515,.000,.667,7.0,7.1,7.0,8.6,0.0,0.0,20.5,12.8,0.0,0.0,0.0,-0.025,-2.9,-2.4,-5.3,0.0,
20,Dudley Bradley,30,SG,2,0,5,-4.0,.000,1.000,.000,0.0,22.6,11.3,23.5,0.0,0.0,0.0,8.4,0.0,0.0,0.0,-0.070,-14.9,1.4,-13.6,0.0,
