Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rolando Blackman,24,SG,81,81,3025,19.8,.596,.008,.347,4.8,9.5,7.2,14.2,0.9,0.7,10.0,23.3,8.3,1.5,9.8,.155,3.6,-1.2,2.4,3.3,
2,Mark Aguirre,24,SF,79,79,2900,23.5,.572,.032,.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,7.0,2.0,9.0,.149,5.0,-1.2,3.7,4.1,"MVP-11,AS"
3,Brad Davis,28,PG,81,81,2665,14.4,.593,.058,.366,1.8,6.3,4.1,27.1,1.7,0.3,18.0,14.4,4.8,1.5,6.2,.112,0.3,-0.5,-0.2,1.2,
4,Pat Cummings,27,PF,80,80,2492,13.8,.523,.002,.208,7.0,23.6,15.3,8.7,1.2,0.5,12.8,19.2,1.6,2.7,4.2,.081,-1.4,-0.6,-2.0,0.0,
5,Kurt Nimphius,25,C,82,46,2284,13.0,.544,.008,.310,9.3,16.8,13.0,9.8,0.9,3.6,14.2,12.6,2.5,2.3,4.8,.101,-0.9,1.2,0.3,1.3,
6,Derek Harper,22,PG,82,1,1712,10.5,.475,.058,.217,3.6,8.1,5.8,17.7,2.7,0.7,18.3,14.7,-0.3,1.5,1.3,.035,-2.3,1.0,-1.3,0.3,
7,Bill Garnett,23,PF,80,34,1529,12.3,.546,.007,.589,9.3,15.8,12.6,10.3,1.4,2.4,15.3,12.1,1.9,1.5,3.5,.109,-1.1,1.2,0.1,0.8,
8,Jay Vincent,24,SF,61,5,1421,12.1,.499,.002,.371,6.6,13.5,10.1,11.0,1.0,0.4,14.4,23.1,0.2,0.9,1.1,.038,-2.2,-1.8,-3.9,-0.7,
9,Dale Ellis,23,SF,67,2,1059,15.1,.503,.059,.245,11.6,15.8,13.7,7.6,1.9,0.5,12.5,24.6,0.5,1.0,1.5,.066,-0.8,-1.6,-2.4,-0.1,
10,Elston Turner,24,SF,47,1,536,9.9,.415,.060,.227,9.1,11.0,10.1,13.7,2.4,0.0,15.0,15.1,-0.1,0.5,0.3,.029,-2.1,0.1,-2.0,0.0,
11,Mark West,23,C,34,0,202,4.1,.358,.000,.524,10.9,15.5,13.2,7.7,0.2,4.2,18.8,13.1,-0.3,0.2,-0.1,-0.023,-6.7,0.4,-6.3,-0.3,
12,Roger Phegley,27,SG,10,0,76,2.6,.329,.129,.065,3.1,10.7,6.9,15.0,0.6,0.0,13.6,20.2,-0.2,0.0,-0.2,-0.106,-5.1,-1.0,-6.2,-0.2,
13,Jim Spanarkel,26,SG,7,0,54,16.8,.552,.125,.813,10.8,4.3,7.5,11.9,5.4,0.0,15.6,19.9,0.1,0.1,0.2,.141,-2.8,1.0,-1.9,0.1,
