Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Karl Malone,37,PF,81,81,2895,24.7,.572,.004,.503,5.0,23.3,14.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,.217,5.5,1.1,6.6,6.3,"MVP-7,AS,NBA3"
2,Bryon Russell,30,SF,78,46,2473,14.1,.565,.329,.407,4.8,11.6,8.3,10.4,2.1,0.7,12.0,17.5,4.5,2.3,6.8,.133,1.1,0.2,1.3,2.0,
3,John Stockton,38,PG,82,82,2397,22.3,.610,.203,.427,2.9,8.8,5.9,48.7,2.9,0.7,20.8,18.8,8.2,2.6,10.8,.216,5.5,1.2,6.7,5.3,MVP-15
4,Donyell Marshall,27,SF,81,49,2326,19.9,.568,.151,.322,9.4,20.6,15.1,10.1,2.0,2.7,11.7,21.7,5.1,3.3,8.5,.174,3.2,0.6,3.7,3.4,6MOY-9
5,John Starks,35,SG,75,64,2122,9.3,.476,.265,.162,1.7,7.2,4.5,13.5,1.8,0.4,11.3,18.0,0.6,1.5,2.1,.048,-2.2,-0.4,-2.5,-0.3,
6,Jacque Vaughn,25,PG,82,0,1620,12.8,.535,.198,.417,1.4,9.9,5.7,31.0,1.6,0.2,21.7,16.9,1.8,1.1,3.0,.088,-0.2,-0.7,-1.0,0.4,
7,Olden Polynice,36,C,81,79,1619,9.9,.484,.002,.157,12.3,16.6,14.5,3.1,0.9,3.9,15.0,14.8,0.2,1.8,2.0,.058,-3.1,-0.7,-3.9,-0.8,
8,Greg Ostertag,27,C,81,3,1491,13.3,.522,.007,.537,13.9,20.4,17.3,2.3,0.8,7.7,15.3,12.7,1.5,2.3,3.8,.121,-1.8,1.0,-0.8,0.4,
9,Danny Manning,34,PF,82,0,1305,14.3,.537,.056,.280,6.4,13.8,10.2,12.6,1.9,1.8,14.6,23.2,1.2,1.4,2.6,.097,-1.2,0.1,-1.1,0.3,
10,David Benoit,32,SF,49,2,446,11.1,.542,.088,.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,0.4,0.4,0.7,.080,-2.8,-1.2,-4.0,-0.2,
11,Quincy Lewis,23,SF,35,2,402,7.1,.469,.203,.171,4.4,10.0,7.2,7.2,1.3,2.0,11.4,17.1,0.0,0.3,0.3,.041,-4.3,-0.2,-4.5,-0.3,
12,DeShawn Stevenson,19,SG,40,2,293,4.3,.413,.132,.418,3.9,7.9,5.9,9.6,1.8,0.6,20.6,21.3,-0.6,0.2,-0.4,-0.071,-6.0,-1.7,-7.7,-0.4,
13,John Crotty,31,PG,31,0,264,7.2,.443,.108,.292,6.2,6.9,6.6,19.4,1.2,0.0,20.6,16.1,0.0,0.1,0.1,.019,-3.3,-1.8,-5.2,-0.2,
14,Scott Padgett,24,PF,27,0,127,17.6,.541,.209,.465,18.9,19.1,19.0,6.5,2.5,1.9,16.2,22.4,0.2,0.2,0.4,.158,0.4,-1.8,-1.4,0.0,
