Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,David Lee,26,C,81,81,3019,22.2,.584,.006,.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,7.4,2.9,10.3,.163,2.6,0.0,2.5,3.5,"DPOY-17,AS"
2,Danilo Gallinari,21,SF,81,74,2747,14.8,.575,.526,.331,2.6,14.0,8.2,7.6,1.4,1.6,9.4,19.3,4.1,1.5,5.6,.098,1.2,-0.7,0.5,1.7,
3,Wilson Chandler,22,SG,65,64,2320,13.7,.534,.174,.186,4.5,12.7,8.5,9.8,1.0,1.6,10.4,20.2,1.8,0.9,2.7,.057,-1.0,-1.1,-2.1,0.0,
4,Al Harrington,29,PF,72,15,2195,16.8,.546,.397,.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,2.2,1.3,3.5,.077,0.8,-1.6,-0.8,0.6,6MOY-11
5,Chris Duhon,27,PG,67,59,2072,10.7,.501,.572,.211,1.5,8.4,4.9,25.9,1.5,0.1,18.2,13.1,1.5,0.5,1.9,.045,-1.2,-1.3,-2.5,-0.3,
6,Jared Jeffries,28,PF,52,37,1462,9.7,.524,.270,.404,7.6,9.8,8.7,7.9,1.9,3.0,18.6,10.3,0.8,1.0,1.7,.057,-2.5,1.0,-1.5,0.2,
7,Toney Douglas,23,PG,56,12,1087,14.9,.571,.448,.174,4.1,7.2,5.6,16.6,2.0,0.2,11.6,19.8,1.8,0.4,2.2,.097,0.5,-0.8,-0.4,0.5,
8,Larry Hughes,31,SG,31,14,820,12.3,.473,.348,.283,2.2,13.3,7.6,20.1,2.5,1.0,15.1,20.4,-0.2,0.6,0.4,.023,-1.9,0.1,-1.8,0.0,
9,Henry Walker,22,SG,27,13,739,14.9,.651,.513,.208,2.3,10.6,6.4,8.0,1.6,0.3,9.5,16.7,1.6,0.3,1.9,.123,0.6,-0.9,-0.3,0.3,
10,Nate Robinson,25,PG,30,2,733,17.6,.552,.405,.161,3.5,7.7,5.6,26.4,1.9,0.5,12.8,25.4,1.1,0.3,1.4,.091,2.1,-1.2,0.9,0.5,
11,Tracy McGrady,30,SG,24,24,627,12.2,.469,.287,.264,3.9,12.4,8.1,22.7,1.2,1.4,15.1,20.5,-0.1,0.3,0.2,.016,-0.9,-1.4,-2.3,-0.1,
12,Sergio Rodríguez,23,PG,27,8,531,12.8,.573,.304,.193,1.9,6.5,4.2,26.9,2.0,0.3,24.0,19.5,0.2,0.2,0.4,.033,-1.1,-1.9,-3.0,-0.1,
13,Eddie House,31,SG,18,0,371,7.3,.416,.451,.090,1.8,10.6,6.1,14.9,1.7,0.0,12.6,19.3,-0.5,0.1,-0.4,-0.047,-4.0,-1.8,-5.8,-0.4,
14,Jonathan Bender,29,SF,25,1,292,10.8,.529,.390,.260,5.7,14.7,10.1,8.4,0.3,4.3,20.1,21.6,-0.2,0.2,0.0,-0.001,-3.3,-0.8,-4.1,-0.2,
15,Jordan Hill,22,PF,24,0,252,14.0,.479,.022,.228,14.2,13.3,13.8,4.5,2.0,2.7,10.6,20.3,0.1,0.2,0.3,.059,-3.0,-1.6,-4.6,-0.2,
16,Earl Barron,28,C,7,6,232,14.7,.508,.000,.426,14.9,22.9,18.9,5.2,0.9,1.3,12.0,17.9,0.3,0.2,0.4,.091,-1.5,-2.9,-4.5,-0.1,
17,J.R. Giddens,24,SF,11,0,140,10.5,.513,.205,.282,9.6,15.7,12.6,7.7,1.8,0.5,18.6,17.4,0.0,0.1,0.1,.026,-3.8,-1.1,-4.9,-0.1,
18,Marcus Landry,24,SF,17,0,108,8.1,.509,.634,.122,5.2,15.0,10.0,0.0,0.5,1.4,12.2,20.6,-0.1,0.0,0.0,-0.015,-3.5,-3.2,-6.7,-0.1,
19,Darko Miličić,24,C,8,0,71,12.1,.471,.000,.000,7.9,21.2,14.4,8.4,2.9,1.1,10.5,12.1,0.0,0.1,0.1,.073,-2.2,0.4,-1.8,0.0,
20,Eddy Curry,27,C,7,0,62,-1.9,.456,.000,.810,7.2,16.8,11.9,0.0,0.0,1.2,31.3,30.2,-0.4,0.0,-0.3,-0.258,-14.4,-4.1,-18.5,-0.3,
