Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Raymond Felton,24,PG,82,81,3086,13.7,.483,.191,.251,2.2,10.2,6.2,31.1,2.2,0.8,15.9,21.9,0.6,3.7,4.3,.066,-0.6,0.4,-0.1,1.4,
2,Emeka Okafor,26,C,82,81,2691,18.0,.581,.000,.478,12.7,25.2,19.0,3.5,1.0,4.2,13.4,18.9,3.7,4.6,8.2,.147,-0.1,0.3,0.2,1.5,
3,Gerald Wallace,26,SF,71,71,2669,18.6,.585,.162,.560,5.2,20.3,12.8,12.4,2.5,2.1,12.8,20.5,4.9,4.6,9.5,.172,1.3,2.3,3.5,3.7,
4,Boris Diaw,26,PF,59,59,2216,14.9,.558,.225,.163,5.3,14.1,9.7,23.4,1.2,1.6,18.3,20.8,1.4,2.6,4.0,.086,1.0,0.5,1.5,1.9,
5,D.J. Augustin,21,PG,72,12,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,3.6,1.5,5.1,.128,1.4,-0.5,0.9,1.4,
6,Raja Bell,32,SG,45,44,1603,11.7,.541,.349,.160,2.6,11.2,6.9,12.2,1.3,0.3,11.1,18.0,1.3,1.5,2.8,.083,-0.9,-0.1,-1.0,0.4,DPOY-12
7,Vladimir Radmanović,28,SF,32,3,674,10.2,.503,.500,.123,5.0,14.2,9.6,11.2,1.5,1.0,16.1,22.2,-0.5,0.8,0.3,.021,-1.6,-0.6,-2.3,-0.1,
8,Adam Morrison,24,SF,44,5,667,5.8,.452,.436,.100,3.0,10.3,6.7,9.4,0.7,0.5,11.6,17.6,-0.5,0.5,0.1,.004,-3.5,-1.0,-4.5,-0.4,
9,DeSagana Diop,27,C,41,1,584,10.3,.441,.000,.327,14.7,18.1,16.4,5.2,1.6,4.4,17.8,12.7,-0.2,1.0,0.7,.060,-3.8,0.8,-3.0,-0.2,
10,Jason Richardson,28,SG,14,14,491,15.8,.536,.268,.250,3.3,11.3,7.3,14.1,1.5,0.5,8.9,25.8,0.5,0.5,1.1,.104,1.5,-0.2,1.3,0.4,
11,Matt Carroll,28,SG,34,10,475,7.0,.475,.326,.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,-0.5,0.6,0.1,.015,-4.5,1.3,-3.3,-0.2,
12,Juwan Howard,35,SF,39,2,450,10.9,.535,.000,.234,8.0,11.7,9.9,9.6,0.7,0.9,14.0,19.5,0.2,0.4,0.6,.064,-3.2,-0.6,-3.8,-0.2,
13,Jared Dudley,23,SF,20,7,427,10.6,.507,.083,.250,7.3,9.8,8.6,7.3,2.3,0.4,8.6,12.9,0.3,0.5,0.8,.094,-1.8,1.4,-0.4,0.2,
14,Shannon Brown,23,SG,30,0,341,12.1,.529,.228,.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,-0.1,0.4,0.3,.041,-1.8,1.1,-0.7,0.1,
15,Nazr Mohammed,31,C,39,1,341,7.7,.438,.000,.396,12.8,15.9,14.3,3.9,0.8,3.9,16.2,19.6,-0.4,0.5,0.0,.004,-6.7,-0.4,-7.1,-0.4,
16,Sean May,24,PF,24,12,301,6.2,.435,.010,.204,8.3,20.0,14.2,5.6,0.9,1.1,19.6,20.8,-0.7,0.4,-0.3,-0.045,-6.0,-1.4,-7.4,-0.4,
17,Cartier Martin,24,SF,33,1,266,9.2,.489,.429,.325,3.3,12.0,7.7,8.0,1.6,1.2,9.3,17.2,0.1,0.3,0.4,.070,-3.2,0.3,-2.8,-0.1,
18,Ryan Hollins,24,C,18,1,184,15.3,.613,.000,1.114,12.9,11.4,12.1,3.5,0.9,7.6,16.1,15.9,0.3,0.3,0.6,.158,-2.7,1.7,-1.0,0.0,
19,Alexis Ajinça,20,PF,31,4,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018,-7.6,0.1,-7.5,-0.3,
20,Sean Singletary,23,PG,24,1,181,5.5,.513,.313,.313,3.4,9.5,6.5,15.3,1.5,0.0,24.8,18.9,-0.2,0.2,0.0,-0.007,-5.9,-0.2,-6.0,-0.2,
21,Dontell Jefferson,25,SG,6,0,84,12.7,.559,.091,.409,1.5,16.1,8.8,18.2,2.6,1.0,18.8,18.0,0.0,0.1,0.2,.089,-2.2,2.2,-0.1,0.0,
22,Dwayne Jones,25,PF,6,0,52,8.0,.622,.000,.857,14.4,14.2,14.3,0.0,0.0,1.6,29.3,12.4,0.0,0.0,0.1,.051,-3.9,-1.8,-5.7,0.0,
23,Andre Brown,27,PF,4,0,41,-1.5,.254,.000,.286,21.3,15.0,18.1,3.5,1.3,0.0,38.8,14.8,-0.2,0.0,-0.1,-0.122,-11.2,-2.9,-14.2,-0.1,
24,Linton Johnson,28,PF,2,0,13,-1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.010,-6.8,-1.3,-8.1,0.0,
