Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Loy Vaught,28,PF,82,82,2838,16.6,.522,.011,.176,8.8,25.4,16.8,6.9,1.6,0.7,10.5,20.5,2.9,3.4,6.3,.106,-0.1,-0.9,-1.1,0.7,
2,Rodney Rogers,25,SF,81,62,2480,14.2,.530,.204,.326,6.2,13.4,9.7,15.3,1.9,1.9,17.9,22.2,0.7,2.2,2.9,.056,-0.5,-0.2,-0.7,0.8,
3,Malik Sealy,26,SG,80,79,2456,13.7,.504,.236,.308,2.7,8.8,5.7,11.2,2.7,1.4,12.6,22.3,1.1,2.1,3.2,.063,-1.0,0.2,-0.8,0.7,
4,Bo Outlaw,25,PF,82,25,2195,16.3,.602,.019,.556,8.9,15.4,12.1,11.3,2.3,5.1,17.1,12.7,3.2,2.8,6.1,.133,0.3,2.5,2.8,2.6,6MOY-7
5,Lorenzen Wright,21,C,77,51,1936,12.5,.504,.008,.305,12.0,16.6,14.2,4.0,1.3,2.4,12.4,14.7,1.5,1.7,3.2,.079,-2.0,-1.0,-3.0,-0.5,
6,Darrick Martin,25,PG,82,64,1820,16.9,.539,.326,.348,1.6,5.8,3.6,31.6,1.6,0.1,13.3,23.4,3.9,0.7,4.6,.121,2.2,-1.7,0.5,1.1,
7,Lamond Murray,23,SF,74,1,1295,14.4,.520,.209,.485,7.4,13.8,10.5,7.2,2.2,1.8,14.0,21.2,0.9,1.2,2.1,.078,-0.4,-0.4,-0.8,0.4,
8,Brent Barry,25,SG,59,0,1094,15.0,.526,.456,.245,3.1,8.9,5.9,23.1,2.5,1.1,15.3,20.3,1.2,0.9,2.1,.090,0.6,-0.2,0.4,0.7,
9,Pooh Richardson,30,PG,59,18,1065,11.8,.455,.372,.125,2.6,8.3,5.4,25.3,2.7,0.4,14.6,17.8,0.1,0.8,1.0,.043,-1.2,0.4,-0.8,0.3,
10,Terry Dehere,25,PG,73,3,1053,12.4,.524,.418,.386,1.6,9.2,5.3,24.6,1.3,0.2,17.6,23.1,0.7,0.5,1.2,.056,-1.2,-1.5,-2.8,-0.2,
11,Eric Piatkowski,26,SG,65,0,747,18.2,.579,.403,.282,7.4,9.1,8.2,12.2,2.3,1.0,12.1,22.8,1.7,0.6,2.3,.146,3.2,-0.2,3.0,1.0,
12,Kevin Duckworth,32,C,26,22,384,6.1,.473,.039,.155,6.7,11.7,9.1,6.6,1.2,2.2,23.1,16.6,-0.5,0.3,-0.2,-0.030,-5.7,0.0,-5.7,-0.3,
13,Stanley Roberts,26,C,18,2,378,14.1,.485,.000,.432,7.1,21.5,14.0,4.1,1.1,4.8,11.5,23.5,0.0,0.5,0.5,.060,-2.9,0.6,-2.3,0.0,
14,Dwayne Schintzius,28,C,15,0,116,8.1,.430,.056,.222,8.7,13.6,11.1,5.4,0.5,6.1,15.0,17.9,-0.1,0.1,0.0,.002,-6.1,0.1,-6.0,-0.1,
15,Rich Manning,26,PF,10,1,73,10.9,.423,.029,.176,12.3,13.3,12.8,2.5,0.7,1.1,5.2,23.7,0.0,0.0,0.0,.012,-5.0,-5.2,-10.2,-0.2,
