Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Michael Cage,25,PF,80,76,2922,17.1,.579,.003,.532,12.4,23.1,17.3,6.6,1.6,1.3,13.6,17.1,4.8,2.4,7.2,.119,0.8,-1.1,-0.2,1.3,
2,Benoit Benjamin,22,C,72,61,2230,12.6,.500,.003,.369,6.1,24.1,14.4,8.7,1.3,4.8,18.2,18.1,-1.3,2.4,1.1,.024,-3.3,1.2,-2.1,-0.1,
3,Mike Woodson,28,SG,74,66,2126,13.9,.502,.109,.257,3.3,5.3,4.2,15.2,2.2,0.4,11.8,26.7,0.2,0.7,0.9,.021,-1.1,-1.4,-2.5,-0.2,
4,Darnell Valentine,27,PG,65,52,1759,14.5,.478,.083,.298,2.2,7.6,4.7,37.3,3.1,0.3,18.0,21.0,0.0,1.1,1.1,.029,-0.4,-0.5,-1.0,0.5,
5,Larry Drew,28,PG,60,22,1566,13.1,.490,.105,.243,1.7,5.9,3.6,32.1,1.8,0.1,16.6,23.1,-0.2,0.4,0.1,.004,-0.8,-2.2,-3.0,-0.4,
6,Rory White,27,SF,68,35,1545,10.8,.507,.005,.261,5.9,8.0,6.9,7.7,1.4,0.7,10.6,17.7,0.5,0.4,1.0,.030,-2.4,-1.4,-3.8,-0.7,
7,Cedric Maxwell,31,SF,35,31,1132,15.4,.613,.000,.789,9.3,15.6,12.2,15.3,1.1,0.5,18.4,16.8,2.0,0.5,2.5,.105,1.0,-0.6,0.4,0.7,
8,Lancaster Gordon,24,SG,70,4,1130,11.3,.448,.088,.174,5.8,6.5,6.1,19.2,2.5,0.7,14.8,24.3,-1.3,0.5,-0.8,-0.033,-2.5,-1.2,-3.7,-0.5,
9,Tim Kempton,23,PF,66,6,936,10.2,.543,.005,.665,7.6,15.8,11.4,7.7,1.9,0.7,15.5,13.4,0.7,0.6,1.3,.066,-3.7,-0.1,-3.8,-0.4,
10,Quintin Dailey,26,SG,49,5,924,11.8,.465,.020,.316,3.8,6.3,4.9,13.8,2.2,0.5,11.3,27.2,-0.6,0.4,-0.3,-0.014,-3.3,-1.7,-4.9,-0.7,
11,Earl Cureton,29,C,35,11,868,12.5,.504,.004,.338,11.6,17.3,14.2,8.5,1.0,2.0,11.5,13.9,0.7,0.5,1.2,.064,-1.4,-1.2,-2.7,-0.2,
12,Kenny Fields,24,SF,44,17,861,11.9,.497,.035,.259,7.5,11.5,9.3,10.6,1.7,0.7,11.9,20.1,0.3,0.4,0.7,.037,-2.3,-1.1,-3.4,-0.3,
13,Kurt Nimphius,28,PF,38,6,811,9.4,.507,.012,.349,7.3,11.0,9.0,3.2,0.9,2.9,13.9,16.6,-0.1,0.4,0.3,.017,-3.9,-0.8,-4.7,-0.6,
14,Geoff Huston,29,PG,19,8,428,9.0,.474,.017,.281,1.4,3.1,2.2,33.3,1.5,0.0,24.9,16.8,-0.4,0.0,-0.4,-0.040,-2.5,-2.5,-5.0,-0.3,
15,Marques Johnson,30,SF,10,10,302,14.0,.478,.039,.271,3.0,9.5,6.0,15.2,1.9,0.9,8.9,25.1,0.0,0.1,0.1,.022,-0.7,-0.4,-1.1,0.1,
16,Steffond Johnson,24,PF,29,0,234,4.7,.458,.047,.594,6.5,14.2,10.1,3.0,1.8,0.5,18.2,16.8,-0.3,0.1,-0.2,-0.037,-8.3,-1.5,-9.8,-0.5,
17,Dwayne Polee,23,SG,1,0,6,-11.4,.250,.750,.000,0.0,0.0,0.0,0.0,7.8,0.0,20.0,33.2,-0.1,0.0,0.0,-0.397,-22.1,-0.2,-22.3,0.0,
