Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tim Duncan,24,PF,82,82,3174,23.8,.536,.019,.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,.200,2.9,1.8,4.7,5.4,"MVP-2,DPOY-3,AS,NBA1"
2,Derek Anderson,26,SG,82,82,2859,17.1,.542,.255,.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,.166,1.2,1.2,2.4,3.2,
3,David Robinson,35,C,80,80,2371,23.7,.559,.001,.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,.246,2.5,2.7,5.2,4.3,"MVP-10,DPOY-5,AS,NBA3"
4,Antonio Daniels,25,PG,79,23,2060,15.5,.567,.311,.265,1.5,7.2,4.5,24.9,1.6,0.5,14.2,17.5,4.1,2.4,6.6,.153,1.3,0.4,1.7,1.9,
5,Danny Ferry,34,SF,80,29,1688,10.1,.577,.416,.080,3.9,10.7,7.5,6.8,0.9,0.9,11.4,12.2,2.1,2.0,4.1,.117,-0.6,0.6,0.0,0.8,
6,Terry Porter,37,PG,80,42,1678,15.5,.583,.466,.264,1.7,11.4,6.8,24.5,1.7,0.5,17.5,16.7,3.0,2.3,5.4,.154,1.6,1.0,2.6,2.0,
7,Avery Johnson,35,PG,55,20,1290,11.5,.475,.020,.200,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,1.3,1.3,2.6,.098,-1.3,0.1,-1.2,0.3,
8,Sean Elliott,32,SF,52,34,1229,12.4,.544,.381,.248,1.6,13.4,7.8,10.8,1.0,1.4,11.9,16.3,1.3,1.7,3.0,.118,0.6,1.1,1.7,1.2,
9,Malik Rose,26,PF,57,9,1219,14.8,.498,.046,.435,9.3,18.8,14.3,6.6,2.6,2.3,14.4,19.8,0.7,2.6,3.3,.131,-1.7,2.2,0.4,0.8,
10,Samaki Walker,24,PF,61,1,963,12.2,.524,.012,.492,8.3,19.7,14.3,5.0,0.6,2.9,18.2,18.3,0.2,1.7,1.9,.093,-2.9,0.3,-2.6,-0.1,
11,Steve Kerr,35,PG,55,1,650,10.6,.546,.484,.094,1.1,4.8,3.0,14.1,1.3,0.1,11.3,13.5,0.8,0.6,1.5,.108,-0.5,0.5,0.0,0.3,
12,Derrick Dial,25,SG,33,0,207,14.3,.466,.120,.253,6.9,13.5,10.4,18.3,1.0,2.0,11.5,23.7,0.1,0.3,0.4,.091,-1.5,0.0,-1.5,0.0,
13,Ira Newble,26,SF,27,6,184,8.9,.435,.164,.291,8.4,12.9,10.8,5.3,0.6,1.5,10.1,17.6,0.0,0.2,0.2,.055,-2.8,-1.2,-4.0,-0.1,
14,Shawnelle Scott,28,C,27,1,144,12.0,.424,.000,.537,19.0,20.2,19.6,4.6,1.9,2.9,17.8,20.1,-0.1,0.3,0.2,.071,-4.5,-0.6,-5.1,-0.1,
15,Jaren Jackson,33,SG,16,0,114,10.4,.477,.450,.050,1.0,10.4,6.0,10.5,2.4,0.0,6.8,18.1,0.0,0.2,0.2,.087,-2.8,1.1,-1.7,0.0,
