Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Ralph Sampson,24,PF,82,82,3086,17.4,.533,.004,.299,8.2,22.6,15.4,10.4,1.2,3.1,16.1,25.9,1.4,4.8,6.2,.096,-0.3,0.7,0.4,1.8,"MVP-10,AS,NBA2"
2,Rodney McCray,23,SF,82,82,3001,15.5,.576,.007,.352,7.5,12.6,10.0,15.0,1.4,1.4,14.8,15.9,5.3,3.3,8.5,.137,1.7,1.0,2.7,3.6,
3,Hakeem Olajuwon,22,C,82,82,2914,21.1,.564,.000,.438,16.9,20.4,18.7,5.3,1.6,4.3,13.5,23.5,5.3,4.9,10.2,.168,1.7,0.4,2.1,3.0,"MVP-12,ROY-2,AS"
4,Lewis Lloyd,25,SG,82,58,2128,15.2,.558,.009,.253,5.1,7.0,6.1,18.0,1.6,0.7,15.5,21.2,2.8,1.9,4.7,.105,0.6,0.0,0.6,1.4,
5,Lionel Hollins,31,PG,80,60,1950,11.1,.508,.024,.252,1.9,8.0,5.0,26.2,1.9,0.3,22.1,15.6,0.7,1.9,2.5,.062,-2.0,0.0,-1.9,0.1,
6,Robert Reid,29,SF,82,0,1763,11.8,.507,.025,.194,5.1,12.2,8.6,12.6,1.3,0.7,12.6,18.0,1.2,1.8,3.0,.082,-1.4,0.1,-1.3,0.3,
7,Mitchell Wiggins,25,SG,82,24,1575,14.0,.516,.035,.199,7.8,8.9,8.3,10.2,2.5,0.5,11.2,20.2,1.7,1.8,3.5,.107,-0.8,0.7,-0.2,0.7,
8,John Lucas,31,PG,47,21,1158,17.4,.533,.148,.289,2.0,6.2,4.1,35.8,2.5,0.1,16.9,20.6,2.0,1.2,3.2,.134,2.6,0.0,2.6,1.3,
9,Jim Petersen,22,PF,60,0,714,6.6,.549,.000,.458,6.9,16.1,11.5,4.8,0.9,2.5,29.1,13.5,-0.5,0.9,0.3,.023,-5.6,1.0,-4.6,-0.5,
10,Allen Leavell,27,PG,42,0,536,11.4,.487,.177,.273,1.7,6.0,3.9,24.4,2.0,0.4,17.9,21.0,0.1,0.5,0.6,.051,-2.2,-0.5,-2.6,-0.1,
11,Larry Micheaux,24,PF,39,0,394,15.4,.618,.025,.213,12.5,15.6,14.0,5.7,1.4,2.0,17.3,16.2,0.6,0.5,1.1,.129,-0.4,-0.2,-0.6,0.1,
12,Phil Ford,28,PG,25,1,290,6.4,.401,.085,.383,1.2,9.2,5.2,23.5,1.0,0.2,23.6,9.8,0.0,0.2,0.2,.033,-3.6,0.5,-3.1,-0.1,
13,Craig Ehlo,23,SG,45,0,189,12.8,.529,.043,.435,4.7,10.0,7.4,18.0,2.7,0.9,21.1,21.8,0.0,0.2,0.2,.057,-2.0,1.1,-0.9,0.1,
14,Hank McDowell,25,PF,34,0,132,9.8,.506,.024,.238,5.9,12.7,9.3,8.6,1.1,2.1,14.7,16.3,0.0,0.1,0.2,.069,-2.5,0.8,-1.7,0.0,
