Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Hersey Hawkins,24,SG,80,80,3110,19.4,.592,.216,.440,1.8,9.3,5.6,15.3,2.9,0.7,12.5,24.0,6.5,3.3,9.8,.151,2.4,0.9,3.3,4.1,AS
2,Charles Barkley,27,SF,67,67,2498,28.9,.635,.133,.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,.258,8.3,1.0,9.3,7.0,"MVP-4,AS,NBA1"
3,Rick Mahorn,32,C,80,74,2439,11.8,.535,.016,.429,7.1,21.2,14.3,6.8,1.6,1.4,16.0,14.2,1.3,3.1,4.4,.086,-2.3,0.6,-1.7,0.1,
4,Ron Anderson,32,SF,82,13,2340,15.5,.524,.041,.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,2.3,1.8,4.1,.085,-0.2,-1.4,-1.6,0.2,
5,Rickey Green,36,PG,79,75,2248,13.1,.506,.050,.195,1.7,5.1,3.4,27.4,1.3,0.2,12.1,17.3,2.3,1.0,3.3,.070,-0.6,-1.5,-2.0,0.0,
6,Armen Gilliam,26,PF,50,50,1695,14.3,.527,.003,.324,9.1,14.9,12.1,7.1,1.0,1.1,13.4,21.1,1.1,1.4,2.6,.072,-1.0,-1.7,-2.7,-0.3,
7,Manute Bol,28,C,82,6,1522,8.4,.426,.085,.250,5.0,20.5,12.9,1.7,0.5,9.6,25.7,7.0,-1.3,2.6,1.3,.042,-4.7,3.7,-1.0,0.4,
8,Andre Turner,26,PG,70,1,1407,12.8,.489,.086,.227,2.9,9.1,6.1,31.6,2.2,0.0,18.4,16.0,0.7,1.2,1.9,.064,-1.3,-0.4,-1.7,0.1,
9,Brian Oliver,22,SG,73,4,800,9.9,.460,.066,.261,2.6,8.5,5.6,16.2,2.1,0.3,14.2,19.3,-0.5,0.6,0.2,.010,-4.0,-0.5,-4.4,-0.5,
10,Mike Gminski,31,C,30,29,791,12.7,.436,.028,.222,10.3,18.1,14.3,6.1,1.0,2.5,9.0,18.9,-0.1,0.9,0.7,.045,-1.4,-1.0,-2.4,-0.1,
11,Jayson Williams,22,PF,52,1,508,8.0,.490,.012,.348,9.3,15.2,12.3,4.7,0.9,0.7,17.7,19.4,-0.4,0.4,0.1,.006,-5.8,-1.9,-7.7,-0.7,
12,Kenny Payne,24,SF,47,6,444,7.5,.411,.095,.153,4.4,12.1,8.3,5.4,1.1,0.8,9.4,21.9,-0.7,0.3,-0.3,-0.037,-5.2,-2.1,-7.2,-0.6,
13,Johnny Dawkins,27,PG,4,4,124,22.8,.687,.098,.268,0.0,14.2,7.2,37.1,1.2,0.0,14.9,19.0,0.5,0.1,0.6,.218,4.6,0.0,4.6,0.2,
14,Dave Hoppen,26,C,11,0,43,13.2,.579,.083,1.000,10.7,12.8,11.7,0.0,1.2,0.0,5.5,18.6,0.1,0.0,0.1,.164,-3.8,-3.4,-7.2,-0.1,
15,Tony Harris,23,SG,6,0,41,-5.0,.282,.125,.250,0.0,2.7,1.4,0.0,1.2,0.0,14.5,22.1,-0.2,0.0,-0.2,-0.248,-12.1,-4.3,-16.4,-0.1,
16,Robert Reid,35,SF,3,0,37,0.3,.143,.000,.000,6.2,20.8,13.7,14.1,1.4,4.8,17.6,20.1,-0.2,0.1,-0.2,-0.235,-9.9,-2.0,-11.9,-0.1,
17,Mario Elie,27,SG,3,0,20,-3.6,.381,.286,.286,0.0,5.5,2.8,7.0,0.0,0.0,27.6,23.8,-0.1,0.0,-0.1,-0.247,-10.3,-6.3,-16.6,-0.1,
18,Jim Farmer,26,SG,2,0,13,10.9,.381,.143,.286,17.6,25.4,21.6,0.0,0.0,0.0,11.3,29.8,0.0,0.0,0.0,-0.068,-6.1,-5.2,-11.3,0.0,
