Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kurt Thomas,31,PF,80,75,2548,14.1,.503,.004,.153,6.7,23.1,15.0,10.2,1.2,2.4,13.0,18.5,1.7,3.3,5.0,.094,-1.3,0.6,-0.8,0.8,
2,Shandon Anderson,30,SG,80,37,1974,10.1,.500,.227,.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,.042,-2.4,0.1,-2.4,-0.2,
3,Stephon Marbury,26,PG,47,47,1839,20.9,.523,.200,.322,2.5,6.6,4.6,44.0,1.9,0.2,14.6,26.3,4.5,1.0,5.5,.144,4.6,-1.1,3.4,2.5,
4,Allan Houston,32,SG,50,50,1799,14.8,.539,.259,.220,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,2.5,0.6,3.1,.083,1.1,-1.6,-0.5,0.7,
5,Keith Van Horn,28,SF,47,47,1574,17.2,.549,.263,.325,7.3,17.7,12.6,9.6,1.8,0.9,14.5,24.2,2.2,1.7,3.9,.119,1.2,-0.3,0.9,1.2,
6,Dikembe Mutombo,37,C,65,56,1494,14.3,.523,.000,.403,11.4,22.2,16.9,2.7,0.6,6.2,13.5,12.5,1.6,2.1,3.8,.122,-0.9,1.0,0.1,0.8,
7,Anfernee Hardaway,32,SG,42,4,1219,10.8,.451,.108,.218,4.0,13.7,9.0,10.9,1.8,0.7,12.7,19.5,-0.4,1.1,0.7,.029,-2.2,-0.3,-2.5,-0.1,
8,Othella Harrington,30,PF,56,3,872,9.0,.546,.000,.386,7.8,15.5,11.7,5.5,0.7,1.2,21.6,16.0,0.2,0.7,0.8,.046,-4.0,-0.6,-4.6,-0.6,
9,Charlie Ward,33,PG,35,10,827,17.5,.566,.531,.081,1.4,11.8,6.7,35.1,3.0,0.7,20.4,19.0,1.4,1.0,2.3,.134,2.7,1.4,4.1,1.3,
10,Tim Thomas,26,SF,24,23,746,16.7,.547,.211,.317,4.1,13.6,8.9,8.4,1.7,0.5,11.1,24.2,1.2,0.6,1.8,.118,1.4,-0.9,0.5,0.4,
11,Howard Eisley,31,PG,33,23,730,13.5,.505,.421,.178,1.1,9.2,5.2,34.7,2.2,0.3,18.7,17.0,0.9,0.6,1.5,.096,-0.3,0.3,0.1,0.4,
12,Frank Williams,23,PG,56,3,714,10.7,.478,.288,.231,1.3,7.2,4.3,27.7,1.9,0.6,21.6,19.0,-0.1,0.5,0.3,.023,-2.0,-0.9,-2.9,-0.2,
13,Michael Doleac,26,C,46,0,685,14.0,.480,.000,.160,10.3,21.4,15.9,7.6,1.3,3.3,13.3,18.8,0.3,0.9,1.2,.085,-1.7,0.6,-1.1,0.2,
14,Nazr Mohammed,26,C,27,23,673,18.1,.567,.000,.307,13.4,22.0,17.8,4.2,2.6,2.8,15.8,17.9,0.9,1.1,2.0,.144,0.3,0.2,0.5,0.4,
15,Mike Sweetney,21,PF,42,1,494,17.2,.544,.007,.414,16.1,20.5,18.3,4.8,2.0,1.8,16.2,18.6,0.8,0.7,1.4,.138,0.0,-1.2,-1.2,0.1,
16,Moochie Norris,30,PG,36,0,446,14.8,.511,.269,.362,2.1,6.9,4.5,27.0,3.4,0.5,18.4,19.2,0.4,0.5,0.8,.091,-0.1,0.7,0.6,0.3,
17,Antonio McDyess,29,PF,18,6,421,13.6,.479,.000,.268,8.6,23.8,16.3,8.3,1.5,2.0,14.5,20.5,0.0,0.6,0.6,.063,-1.7,0.1,-1.7,0.0,
18,Vin Baker,32,PF,17,0,313,10.5,.476,.020,.455,13.5,12.4,12.9,6.4,1.2,2.2,17.4,21.3,0.0,0.3,0.3,.043,-4.5,-1.7,-6.2,-0.3,
19,DerMarr Johnson,23,SF,21,1,287,11.5,.511,.371,.320,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,0.1,0.3,0.4,.069,-1.3,-0.6,-1.8,0.0,
20,Clarence Weatherspoon,33,PF,15,1,216,13.5,.558,.000,.475,7.6,19.0,13.4,9.4,2.0,0.7,15.7,12.3,0.3,0.3,0.6,.132,-0.4,1.2,0.8,0.2,
21,Cezary Trybański,24,C,3,0,5,-6.6,.174,.000,1.000,0.0,0.0,0.0,0.0,10.7,0.0,0.0,26.7,0.0,0.0,0.0,-0.228,-17.1,1.7,-15.5,0.0,
22,Bruno Šundov,23,C,1,0,4,22.4,1.000,.000,.000,0.0,0.0,0.0,52.7,0.0,0.0,0.0,11.6,0.0,0.0,0.0,.424,2.3,11.3,13.7,0.0,
