Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Andrew Wiggins,22,SF,82,82,2979,13.0,.505,.260,.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,.034,-0.8,-1.7,-2.4,-0.3,
2,Karl-Anthony Towns,22,C,82,82,2918,24.9,.646,.243,.343,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14.0,.230,4.9,0.2,5.1,5.2,"AS,NBA3"
3,Taj Gibson,32,PF,82,82,2726,15.4,.610,.047,.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,5.4,1.7,7.2,.126,0.1,-0.7,-0.5,1.0,
4,Jeff Teague,29,PG,70,70,2311,16.4,.553,.287,.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,.101,1.1,-0.7,0.4,1.4,
5,Jimmy Butler,28,SG,59,59,2164,23.7,.590,.217,.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,7.1,1.8,8.9,.198,5.0,0.7,5.8,4.2,"MVP-10,DPOY-12,AS,NBA3"
6,Jamal Crawford,37,SG,80,0,1653,13.0,.519,.423,.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,.037,0.1,-2.5,-2.3,-0.1,
7,Tyus Jones,21,PG,82,11,1467,14.1,.572,.393,.247,1.2,9.2,5.2,21.2,3.2,0.4,14.0,12.7,2.3,1.2,3.6,.117,-0.8,1.7,0.8,1.1,
8,Nemanja Bjelica,29,PF,67,21,1371,12.6,.581,.493,.121,4.4,18.8,11.5,8.7,1.8,1.0,11.7,14.3,1.7,1.1,2.8,.097,-0.1,0.2,0.1,0.7,
9,Gorgui Dieng,28,C,79,0,1333,14.7,.543,.157,.263,9.1,22.2,15.6,7.5,1.7,2.6,12.0,16.3,1.6,1.4,2.9,.105,-0.9,-0.1,-1.0,0.3,
10,Shabazz Muhammad,25,SF,32,2,301,9.3,.446,.157,.256,5.7,11.6,8.6,3.4,0.8,0.6,3.6,20.5,0.0,0.1,0.0,.008,-3.1,-2.8,-5.9,-0.3,
11,Marcus Georges-Hunt,23,SG,42,0,224,6.9,.515,.313,.438,3.6,4.7,4.1,4.1,1.3,0.0,5.0,11.9,0.2,0.0,0.2,.049,-4.3,-0.9,-5.1,-0.2,
12,Aaron Brooks,33,PG,32,1,189,9.8,.508,.449,.159,4.2,6.2,5.2,15.1,1.6,0.0,13.0,19.9,0.1,0.1,0.1,.033,-2.6,-1.3,-3.8,-0.1,
13,Derrick Rose,29,PG,9,0,112,11.2,.463,.111,.093,3.1,3.1,3.1,15.2,1.8,0.0,11.1,25.0,-0.1,0.0,-0.1,-0.029,-2.9,-2.6,-5.5,-0.1,
14,Cole Aldrich,29,C,21,0,49,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1,
15,Anthony Brown,25,SF,1,0,4,41.9,1.500,1.000,.000,0.0,0.0,0.0,41.7,0.0,0.0,0.0,11.1,0.0,0.0,0.0,.571,26.2,4.3,30.5,0.0,
16,Justin Patton,20,C,1,0,4,19.8,.500,.000,.000,0.0,0.0,0.0,0.0,12.5,0.0,0.0,22.1,0.0,0.0,0.0,.151,-2.2,5.4,3.2,0.0,
