Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Johnson,25,PF,81,81,3234,17.1,.555,.172,.290,7.3,13.8,10.7,19.4,1.3,0.6,13.1,22.6,4.9,3.6,8.5,.126,2.3,-0.3,2.0,3.2,AS
2,Alonzo Mourning,24,C,77,77,2941,20.1,.593,.031,.585,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,.153,0.2,0.9,1.1,2.3,"DPOY-6,AS"
3,Hersey Hawkins,28,SG,82,82,2731,16.3,.622,.368,.372,2.7,10.5,6.8,15.3,2.4,0.5,13.7,18.5,5.3,3.4,8.7,.153,1.4,1.1,2.5,3.1,
4,Muggsy Bogues,30,PG,78,78,2629,16.9,.533,.041,.247,2.4,8.9,5.8,40.3,2.1,0.0,14.0,16.6,5.8,2.8,8.6,.157,1.2,0.3,1.5,2.3,
5,Scott Burrell,24,SF,65,62,2014,15.0,.571,.396,.243,5.9,15.3,10.8,12.6,2.0,1.4,11.5,17.0,2.8,2.9,5.6,.135,1.1,1.1,2.2,2.1,
6,Dell Curry,30,SG,69,0,1718,15.5,.565,.464,.143,3.0,8.4,5.8,11.5,1.7,0.8,10.6,24.9,1.6,1.7,3.3,.093,2.1,-0.6,1.5,1.5,6MOY-2
7,Robert Parish,41,C,81,4,1352,10.1,.467,.000,.272,8.5,21.5,15.3,5.0,1.1,1.9,13.7,16.5,-0.6,2.0,1.4,.051,-3.5,-0.2,-3.7,-0.6,
8,Greg Sutton,27,PG,53,4,690,10.6,.526,.500,.196,1.4,7.9,4.8,20.8,2.5,0.2,17.0,20.2,0.0,0.8,0.8,.058,-2.8,0.6,-2.3,-0.1,
9,Joe Wolf,30,PF,63,6,583,6.8,.511,.074,.198,7.2,18.5,13.1,9.0,0.8,0.7,20.0,8.7,0.2,0.7,0.9,.077,-4.6,0.8,-3.8,-0.3,
10,David Wingate,31,SG,52,9,515,8.1,.460,.180,.197,2.6,10.8,6.9,16.2,1.9,0.8,16.9,14.3,-0.2,0.6,0.4,.037,-4.3,1.3,-3.0,-0.1,
11,Michael Adams,32,PG,29,0,443,17.7,.583,.547,.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,1.1,0.5,1.6,.169,2.5,0.8,3.3,0.6,
12,Darrin Hancock,23,SF,46,7,424,11.2,.554,.025,.322,4.1,10.4,7.4,11.6,2.4,0.7,17.8,18.4,-0.1,0.5,0.4,.049,-3.0,0.7,-2.3,0.0,
13,Kenny Gattison,30,PF,21,0,409,9.2,.510,.010,.510,6.4,15.0,10.9,6.3,0.9,2.6,15.2,16.3,0.0,0.5,0.5,.055,-4.8,0.5,-4.3,-0.3,
14,Tom Tolbert,29,PF,10,0,57,5.6,.371,.222,.111,15.2,19.9,17.6,5.3,0.0,0.0,13.7,17.8,-0.1,0.1,0.0,-0.015,-6.7,-3.7,-10.4,-0.1,
15,Tony Bennett,25,PG,3,0,46,5.2,.538,.692,.000,0.0,4.9,2.6,13.6,0.0,0.0,18.8,16.1,0.0,0.0,0.0,-0.006,-5.1,-1.9,-7.0,-0.1,
16,James Blackwell,26,PG,4,0,19,14.2,.667,.000,.000,0.0,17.9,9.3,39.6,2.8,0.0,40.0,12.2,0.0,0.0,0.0,.104,-1.6,2.9,1.3,0.0,
