Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Brandon Roy,23,SG,74,74,2792,19.4,.531,.184,.319,3.4,11.2,7.3,28.2,1.5,0.4,9.3,24.9,5.9,2.1,8.0,.138,3.2,0.1,3.3,3.6,AS
2,LaMarcus Aldridge,22,PF,76,76,2649,18.5,.523,.006,.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,3.5,2.8,6.2,.113,0.6,-0.4,0.2,1.5,
3,Steve Blake,27,PG,81,78,2424,12.0,.518,.466,.100,1.5,7.9,4.7,27.1,1.2,0.1,14.5,15.3,2.5,1.3,3.8,.075,0.1,-0.6,-0.5,0.9,
4,Jarrett Jack,24,SG,82,16,2229,13.0,.558,.306,.400,1.6,10.7,6.2,22.7,1.5,0.0,19.6,19.3,1.6,1.5,3.2,.069,-0.8,-0.4,-1.2,0.5,6MOY-14
5,Travis Outlaw,23,PF,82,6,2186,15.7,.499,.105,.305,5.2,15.0,10.1,8.9,1.5,2.2,8.9,26.0,0.9,2.3,3.2,.071,-0.2,-0.1,-0.3,1.0,6MOY-9
6,Martell Webster,21,SF,75,70,2132,12.0,.548,.483,.253,3.0,13.3,8.2,7.0,1.1,1.0,10.2,18.0,1.8,1.7,3.5,.079,0.1,-0.2,-0.2,1.0,
7,Joel Przybilla,28,C,77,67,1819,12.3,.611,.004,.488,12.7,29.3,21.0,2.3,0.4,4.0,23.8,10.4,1.6,2.7,4.3,.113,-2.6,0.9,-1.7,0.1,
8,Channing Frye,24,C,78,20,1342,14.8,.529,.022,.241,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,1.6,1.6,3.2,.114,-1.9,0.1,-1.8,0.1,
9,James Jones,27,SF,58,3,1276,13.6,.625,.627,.300,4.0,10.8,7.4,4.3,1.0,0.9,7.0,14.8,2.9,0.8,3.7,.139,1.4,-0.2,1.3,1.1,
10,Sergio Rodríguez,21,PG,72,0,628,9.0,.423,.296,.194,2.4,8.4,5.4,31.2,2.1,0.0,19.9,20.0,-0.7,0.5,-0.2,-0.017,-3.1,-0.5,-3.7,-0.3,
11,Raef LaFrentz,31,C,39,0,291,10.4,.469,.066,.311,11.4,15.7,13.6,3.2,2.3,4.5,12.6,12.9,0.1,0.4,0.5,.085,-4.8,2.1,-2.7,-0.1,
12,Von Wafer,22,SG,8,0,64,4.7,.384,.478,.174,0.0,16.5,8.3,5.0,0.0,2.4,7.5,19.8,-0.1,0.0,-0.1,-0.067,-3.8,-1.2,-5.0,0.0,
13,Taurean Green,21,PG,8,0,44,5.8,.435,.500,.500,0.0,10.7,5.4,28.1,1.2,0.0,26.4,28.5,-0.1,0.0,-0.1,-0.125,-5.0,-2.8,-7.8,-0.1,
14,Josh McRoberts,20,PF,8,0,28,20.3,.600,.100,.000,8.4,33.5,21.0,13.7,2.0,0.0,16.7,20.3,0.0,0.0,0.1,.131,2.0,1.8,3.7,0.0,
