Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Luke Ridnour,31,SG,82,82,2474,13.0,.532,.261,.202,1.8,7.9,4.8,21.0,1.7,0.5,12.8,18.3,2.6,1.8,4.3,.084,-1.0,0.2,-0.8,0.8,
2,Andrei Kirilenko,31,SF,64,64,2034,17.6,.590,.214,.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6.0,.142,1.8,1.8,3.5,2.9,
3,Dante Cunningham,25,PF,80,9,2010,13.3,.485,.009,.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,1.1,2.4,3.5,.084,-1.8,0.4,-1.4,0.3,
4,Nikola Peković,27,C,62,62,1959,20.2,.572,.000,.437,13.0,19.0,15.9,4.9,1.1,2.0,10.3,22.5,4.6,2.1,6.7,.163,1.7,-1.2,0.5,1.2,
5,Derrick Williams,21,PF,78,56,1916,14.5,.515,.249,.346,5.6,20.6,12.8,4.2,1.2,1.5,10.0,23.5,1.0,2.1,3.0,.076,-0.5,-1.0,-1.5,0.2,
6,Alexey Shved,24,SG,77,16,1840,11.0,.474,.454,.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,.020,-1.1,-0.6,-1.7,0.1,
7,J.J. Barea,28,PG,74,2,1713,14.1,.510,.369,.177,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,0.8,1.0,1.9,.053,0.7,-1.3,-0.6,0.6,
8,Ricky Rubio,22,PG,57,47,1691,16.2,.482,.179,.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,0.4,2.6,3.0,.085,-0.8,1.9,1.1,1.3,
9,Greg Stiemsma,27,C,76,19,1209,10.5,.498,.000,.248,5.6,19.5,12.3,3.9,1.9,5.8,16.1,13.6,-0.3,2.0,1.7,.069,-5.1,2.3,-2.8,-0.3,
10,Mickaël Gelabale,29,SF,36,13,644,11.8,.605,.374,.173,5.5,12.3,8.8,6.4,1.3,0.5,9.7,11.5,1.0,0.5,1.5,.114,-0.6,0.4,-0.2,0.3,
11,Kevin Love,24,PF,18,18,618,17.9,.458,.309,.477,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,0.1,0.9,1.1,.084,1.4,-1.0,0.4,0.4,
12,Chase Budinger,24,SF,23,1,508,12.6,.516,.424,.220,3.3,13.0,8.0,8.3,1.4,1.1,9.9,20.5,0.3,0.4,0.7,.066,-0.6,-0.8,-1.4,0.1,
13,Malcolm Lee,22,SG,16,12,289,9.8,.460,.316,.263,5.8,9.8,7.7,10.7,2.1,1.6,10.5,14.7,0.1,0.3,0.4,.059,-2.4,1.1,-1.3,0.0,
14,Chris Johnson,27,C,30,0,284,18.4,.650,.000,.453,7.8,16.6,12.1,4.9,1.3,7.6,12.6,16.2,0.6,0.4,1.0,.176,-1.2,2.8,1.6,0.3,
15,Josh Howard,32,SF,11,4,207,9.5,.450,.208,.156,4.8,15.4,9.9,3.2,2.5,1.1,10.8,20.0,-0.2,0.3,0.0,.009,-3.9,0.1,-3.8,-0.1,
16,Lou Amundson,30,PF,20,0,161,6.3,.342,.000,.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,-0.4,0.2,-0.1,-0.038,-6.9,-1.0,-7.9,-0.2,
17,Brandon Roy,28,SG,5,5,122,8.3,.368,.257,.286,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,-0.1,0.1,0.0,-0.017,-3.5,-0.8,-4.2,-0.1,
18,Lazar Hayward,26,SF,4,0,31,11.2,.396,.400,.600,0.0,15.2,7.4,14.2,3.3,0.0,0.0,18.3,0.0,0.0,0.1,.087,-3.7,1.8,-1.9,0.0,
19,Will Conroy,30,PG,4,0,20,-15.2,.051,.333,.222,5.5,0.0,2.9,0.0,0.0,0.0,0.0,22.1,-0.2,0.0,-0.2,-0.433,-16.4,-8.5,-24.9,-0.1,
