Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gerald Henderson,24,SG,55,55,1831,14.0,.511,.065,.282,3.9,10.5,7.0,13.5,1.4,0.8,11.0,23.0,0.8,0.2,1.0,.026,-1.0,-1.7,-2.7,-0.3,
2,Kemba Walker,21,PG,66,25,1792,14.9,.464,.295,.278,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,-0.2,0.5,0.3,.009,0.7,-1.4,-0.8,0.6,ROY-11
3,Byron Mullens,22,C,65,25,1465,13.0,.473,.086,.190,7.3,18.8,12.8,7.5,0.8,2.6,10.4,22.5,-0.4,0.6,0.2,.007,-2.5,-2.1,-4.6,-1.0,
4,Bismack Biyombo,19,C,63,41,1455,10.6,.480,.000,.514,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,-0.5,1.1,0.6,.019,-4.5,-0.2,-4.6,-1.0,
5,Derrick Brown,24,SF,65,17,1443,14.7,.556,.059,.345,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,2.0,0.3,2.3,.076,-0.3,-1.2,-1.5,0.2,
6,D.J. Augustin,24,PG,48,46,1408,14.1,.493,.368,.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,.018,0.7,-3.2,-2.5,-0.2,
7,D.J. White,25,PF,58,11,1098,12.4,.516,.003,.173,5.0,17.2,10.9,8.1,0.8,1.6,10.2,17.8,0.5,0.3,0.8,.034,-2.3,-1.5,-3.8,-0.5,
8,Boris Diaw,29,PF,37,28,1018,10.8,.461,.304,.095,5.1,17.3,11.0,26.9,1.0,1.4,22.2,17.2,-0.8,0.3,-0.5,-0.023,-1.8,-0.9,-2.8,-0.2,
9,Tyrus Thomas,25,PF,54,30,1013,9.0,.418,.009,.254,5.4,17.7,11.3,6.0,1.9,4.4,12.7,19.0,-1.5,0.8,-0.6,-0.029,-5.9,-0.1,-6.0,-1.0,
10,Corey Maggette,32,SF,32,28,881,14.1,.517,.177,.558,2.6,14.0,8.1,8.3,1.4,0.1,11.3,27.4,0.5,0.1,0.7,.038,-1.3,-2.6,-3.9,-0.4,
11,Reggie Williams,25,SF,33,13,747,12.4,.503,.420,.157,4.0,10.5,7.1,14.7,1.4,0.3,10.8,18.9,0.3,0.0,0.3,.022,-0.4,-2.0,-2.4,-0.1,
12,Matt Carroll,31,SG,53,2,596,5.6,.409,.274,.242,1.5,10.0,5.6,10.6,1.4,0.9,12.1,15.3,-0.7,0.1,-0.6,-0.051,-5.9,-1.5,-7.4,-0.8,
13,Cory Higgins,22,PG,38,0,423,4.1,.402,.125,.375,1.8,7.9,4.7,15.0,0.6,1.1,17.3,24.6,-1.2,-0.1,-1.3,-0.150,-6.6,-3.8,-10.4,-0.9,
14,DeSagana Diop,30,C,27,9,325,6.8,.347,.000,.143,11.2,19.0,15.0,11.0,1.0,3.0,29.9,9.0,-0.3,0.2,-0.2,-0.025,-5.6,-0.2,-5.9,-0.3,
15,Eduardo Nájera,35,PF,22,0,270,9.3,.441,.453,.063,4.5,17.2,10.6,7.4,3.7,1.1,9.6,12.4,-0.1,0.3,0.2,.035,-4.6,1.8,-2.9,-0.1,
16,Jamario Moon,31,SF,8,0,123,3.4,.362,.417,.083,1.8,19.3,10.3,6.4,0.4,3.0,24.3,12.3,-0.3,0.0,-0.3,-0.100,-6.4,-0.9,-7.3,-0.2,
