Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Vern Fleming,23,PG,80,77,2870,15.3,.558,.007,.410,3.9,10.7,7.3,24.5,2.2,0.1,17.0,17.5,3.6,3.2,6.9,.115,0.3,0.9,1.1,2.3,
2,Herb Williams,27,C,78,74,2770,17.9,.533,.009,.316,6.8,20.9,13.9,9.7,0.9,3.8,12.6,24.6,2.0,4.2,6.2,.107,0.7,0.7,1.4,2.4,
3,Steve Stipanovich,25,C,79,65,2397,15.9,.526,.011,.356,7.9,20.2,14.1,12.3,1.5,1.7,12.5,20.0,2.5,3.4,5.9,.118,0.4,1.0,1.4,2.0,
4,Wayman Tisdale,21,PF,81,60,2277,14.0,.539,.002,.234,9.2,18.6,13.9,5.4,0.7,1.1,14.5,23.3,0.7,2.6,3.2,.068,-1.5,-1.3,-2.8,-0.4,
5,Clint Richardson,29,SG,82,61,2224,12.2,.496,.012,.200,3.4,8.8,6.1,23.2,1.2,0.2,14.5,17.3,1.2,1.9,3.1,.067,-0.7,-0.3,-1.0,0.6,
6,Ron Anderson,27,SF,60,27,1469,14.5,.515,.014,.200,9.3,9.0,9.2,13.5,1.8,0.2,11.2,19.0,1.4,1.4,2.9,.094,0.6,-0.3,0.3,0.9,
7,Terence Stansbury,24,SG,74,17,1331,9.5,.499,.120,.299,2.4,8.9,5.7,21.3,2.1,0.3,21.8,19.7,-0.9,1.5,0.6,.020,-3.7,0.3,-3.4,-0.5,
8,Bill Garnett,25,PF,80,2,1197,10.5,.548,.008,.678,9.7,15.2,12.5,10.2,1.6,1.1,22.7,13.8,0.5,1.5,2.0,.078,-2.3,0.9,-1.4,0.2,
9,Bill Martin,23,SF,66,0,691,11.5,.516,.027,.181,6.6,9.4,8.0,11.3,1.4,0.6,15.3,22.6,0.0,0.7,0.6,.045,-2.5,-0.9,-3.4,-0.2,
10,Bryan Warrick,26,PG,31,5,658,11.2,.539,.058,.390,1.7,9.2,5.4,22.2,1.8,0.2,19.2,15.6,0.4,0.7,1.0,.075,-2.4,0.2,-2.2,0.0,
11,Clark Kellogg,24,PF,19,12,568,18.2,.516,.044,.235,9.8,22.2,16.1,16.0,2.3,0.8,15.8,27.8,0.0,0.9,0.9,.080,0.7,0.5,1.1,0.5,
12,Dwayne McClain,22,SF,45,4,461,8.3,.402,.050,.194,3.3,3.7,3.5,20.2,3.9,0.5,17.0,21.0,-0.9,0.6,-0.3,-0.026,-4.8,1.0,-3.8,-0.2,
13,Stuart Gray,22,C,67,3,423,10.5,.551,.000,.685,11.6,18.6,15.1,4.8,0.9,1.5,18.5,16.7,0.2,0.5,0.7,.085,-4.0,-0.1,-4.1,-0.2,
14,Quinn Buckner,31,PG,32,3,419,9.9,.505,.010,.260,2.3,10.8,6.6,27.2,4.5,0.4,32.2,16.7,-0.6,0.7,0.2,.020,-5.0,3.4,-1.6,0.0,
