Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Juwan Howard,23,SF,82,82,3324,16.1,.529,.002,.296,7.2,15.6,11.5,15.2,1.5,0.5,14.2,23.4,3.3,3.7,7.0,.101,0.1,-0.5,-0.3,1.4,
2,Rod Strickland,30,PG,82,81,2997,19.7,.533,.070,.450,3.8,9.2,6.5,38.1,2.5,0.3,16.9,23.9,5.5,3.3,8.8,.141,2.8,0.0,2.7,3.6,
3,Chris Webber,23,PF,72,72,2806,21.8,.554,.129,.268,10.1,20.8,15.5,19.9,2.3,3.7,15.0,24.6,4.3,5.0,9.3,.159,3.1,2.2,5.3,5.1,AS
4,Calbert Cheaney,25,SG,79,79,2411,11.1,.530,.041,.188,3.4,9.5,6.5,7.2,1.7,0.6,10.6,16.5,1.6,2.2,3.9,.077,-2.6,0.1,-2.5,-0.3,
5,Gheorghe Mureșan,25,C,73,69,1849,16.7,.618,.000,.368,9.1,21.2,15.2,2.5,1.2,3.9,15.7,18.1,2.5,2.9,5.3,.139,-1.1,0.4,-0.7,0.6,
6,Tracy Murray,25,SF,82,1,1814,14.6,.546,.442,.237,5.5,10.7,8.2,6.6,2.0,0.8,10.3,20.7,2.4,1.9,4.4,.116,0.7,-0.3,0.4,1.1,
7,Harvey Grant,31,PF,78,25,1604,8.8,.477,.283,.124,4.7,13.9,9.3,5.8,1.5,2.2,8.3,10.1,0.8,1.9,2.7,.081,-2.3,1.4,-0.9,0.4,
8,Jaren Jackson,29,SG,75,0,1133,10.1,.520,.480,.210,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,0.3,1.3,1.6,.067,-2.1,0.7,-1.4,0.1,
9,Chris Whitney,25,PG,82,1,1117,15.2,.566,.494,.342,1.4,9.4,5.4,23.8,2.3,0.3,15.2,18.0,2.0,1.2,3.2,.137,0.7,0.7,1.5,1.0,
10,Lorenzo Williams,27,C,19,0,264,8.0,.660,.000,.226,12.6,17.9,15.3,2.1,1.2,2.3,34.6,8.9,0.1,0.3,0.4,.074,-4.4,0.2,-4.2,-0.1,
11,Ben Wallace,22,PF,34,0,197,6.0,.347,.000,.435,15.1,19.3,17.2,1.4,2.1,4.2,24.7,16.6,-0.6,0.3,-0.2,-0.052,-7.6,-0.7,-8.3,-0.3,
12,Tim Legler,30,SG,15,0,182,4.4,.431,.604,.146,0.0,13.3,6.8,5.3,0.9,2.1,15.0,14.8,-0.2,0.2,0.0,-0.010,-5.0,-0.4,-5.5,-0.2,
13,Ashraf Amaya,25,PF,31,0,144,8.8,.382,.025,.700,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,-0.2,0.3,0.1,.019,-6.2,-0.9,-7.1,-0.2,
14,Matt Fish,27,C,5,0,7,-3.7,.333,.000,.000,17.0,65.9,41.8,0.0,0.0,0.0,40.0,32.1,-0.1,0.0,0.0,-0.331,-17.7,-3.4,-21.1,0.0,
15,Gaylon Nickerson,27,SG,1,0,6,4.5,.333,.333,.000,0.0,19.2,9.8,0.0,8.7,0.0,25.0,30.0,0.0,0.0,0.0,-0.229,-11.5,3.6,-8.0,0.0,
