Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Nikola Vučević,22,C,77,77,2559,17.8,.534,.003,.142,12.0,28.4,20.2,9.3,1.2,2.4,13.0,19.3,2.8,2.9,5.7,.106,0.0,-0.5,-0.5,0.9,
2,Arron Afflalo,27,SF,64,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,.042,-1.1,-1.8,-2.9,-0.5,
3,Jameer Nelson,30,PG,56,56,1977,14.4,.498,.455,.131,1.3,10.6,6.0,33.3,1.9,0.2,15.7,22.5,1.1,1.0,2.1,.050,0.1,-1.3,-1.2,0.4,
4,Maurice Harkless,19,SF,76,59,1974,12.5,.504,.207,.227,7.0,12.2,9.6,3.9,2.3,2.4,10.0,15.9,0.7,1.7,2.4,.059,-1.6,0.3,-1.3,0.4,
5,E'Twaun Moore,23,SG,75,21,1682,10.7,.471,.329,.099,3.2,8.0,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,.006,-1.6,-0.7,-2.3,-0.1,
6,JJ Redick,28,SG,50,11,1575,16.1,.592,.515,.222,0.6,7.9,4.3,22.7,1.0,0.2,14.1,21.5,3.0,0.2,3.2,.097,2.2,-1.8,0.4,0.9,6MOY-14
7,Andrew Nicholson,23,PF,75,28,1249,15.1,.557,.000,.193,6.2,17.1,11.7,6.1,1.0,2.0,13.0,22.1,0.9,0.8,1.7,.065,-1.8,-0.9,-2.7,-0.2,
8,Glen Davis,27,PF,34,33,1064,15.0,.483,.004,.245,5.8,20.3,13.1,11.3,1.6,1.5,10.8,25.4,-0.1,0.9,0.8,.035,-1.6,-0.3,-1.9,0.0,
9,Tobias Harris,20,PF,27,20,974,17.0,.524,.219,.280,6.5,20.2,13.3,9.6,1.3,2.9,9.7,23.1,1.0,0.9,1.9,.092,0.5,-0.5,0.0,0.5,
10,DeQuan Jones,22,SF,63,17,803,8.4,.485,.161,.234,2.4,12.4,7.4,3.0,1.2,2.1,11.1,15.3,-0.3,0.4,0.1,.007,-3.8,-0.8,-4.5,-0.5,
11,Beno Udrih,30,PG,27,9,738,14.9,.512,.223,.294,2.6,7.0,4.8,34.2,1.8,0.1,17.0,20.0,0.9,0.2,1.1,.073,0.4,-1.8,-1.3,0.1,
12,Josh McRoberts,25,PF,41,3,685,10.2,.478,.359,.196,6.7,15.8,11.3,14.7,0.8,1.4,14.4,12.9,0.4,0.3,0.7,.051,-1.9,0.0,-1.9,0.0,
13,Kyle O'Quinn,22,C,57,5,638,15.8,.535,.005,.228,11.5,25.5,18.5,13.1,0.9,3.1,14.6,18.1,0.7,0.7,1.4,.107,-1.9,0.3,-1.6,0.1,
14,Gustavo Ayón,27,C,43,3,571,11.7,.540,.000,.304,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,0.3,0.5,0.7,.061,-3.3,1.3,-2.0,0.0,
15,Ish Smith,24,PG,36,3,378,7.2,.357,.147,.060,3.3,10.5,6.9,22.2,1.8,1.2,18.5,17.6,-0.8,0.2,-0.6,-0.073,-4.5,-0.7,-5.2,-0.3,
16,Doron Lamb,21,SG,24,0,297,6.5,.498,.309,.279,1.9,9.1,5.5,5.8,1.1,0.0,11.6,13.2,0.0,0.1,0.1,.010,-4.2,-1.5,-5.7,-0.3,
17,Hedo Türkoğlu,33,SF,11,1,189,3.4,.288,.453,.113,2.4,13.2,7.8,17.2,1.9,0.4,17.7,16.3,-0.6,0.1,-0.5,-0.116,-7.5,-0.7,-8.2,-0.3,
18,Al Harrington,32,C,10,0,119,10.3,.434,.526,.070,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0.0,-0.012,-3.0,-1.5,-4.5,-0.1,
