Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Moses Malone,26,C,81,81,3398,26.8,.576,.003,.454,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,11.7,3.7,15.4,.218,6.2,-1.8,4.5,5.5,"MVP-1,AS,NBA1"
2,Elvin Hayes,36,PF,82,82,3032,14.4,.513,.005,.384,9.4,18.1,13.6,6.6,1.0,1.9,13.9,20.2,2.3,2.9,5.1,.081,-0.6,-0.7,-1.4,0.5,
3,Robert Reid,26,SF,77,75,2913,13.3,.492,.010,.223,6.4,13.2,9.7,14.7,1.9,0.9,13.0,17.0,2.5,2.7,5.2,.086,-0.5,0.6,0.1,1.6,
4,Allen Leavell,24,PG,79,61,2150,16.4,.507,.039,.170,2.4,6.3,4.3,29.8,3.4,0.4,15.2,19.1,2.7,2.1,4.8,.107,0.9,1.2,2.1,2.2,
5,Tom Henderson,30,SG,75,23,1721,11.0,.502,.005,.372,2.0,7.0,4.4,22.8,1.6,0.2,18.3,13.7,1.2,0.9,2.1,.059,-1.4,-0.4,-1.9,0.1,
6,Bill Willoughby,24,SF,69,42,1475,13.1,.541,.015,.166,7.7,12.2,9.9,7.0,1.0,2.3,13.5,16.0,1.5,1.1,2.6,.086,-0.4,0.0,-0.4,0.6,
7,Mike Dunleavy,27,SG,70,15,1315,13.2,.524,.191,.236,1.9,7.0,4.4,23.7,1.7,0.1,13.9,17.9,1.8,0.7,2.6,.093,-0.5,-0.5,-1.0,0.3,
8,Calvin Murphy,33,PG,64,0,1204,13.2,.470,.025,.170,1.8,3.9,2.8,20.6,1.8,0.0,10.5,26.5,0.7,0.6,1.3,.051,-1.8,-1.6,-3.4,-0.4,
9,Calvin Garrett,25,SF,51,22,858,8.4,.454,.041,.107,3.4,8.9,6.1,11.6,1.8,0.4,13.0,13.9,0.0,0.6,0.6,.035,-3.3,0.4,-3.0,-0.2,
10,Billy Paultz,33,C,65,3,807,7.7,.416,.000,.288,7.1,17.9,12.3,6.6,0.9,1.5,15.0,15.2,-0.6,0.7,0.1,.007,-4.1,-0.4,-4.5,-0.5,
11,Major Jones,28,PF,60,6,746,13.4,.543,.014,.362,11.4,18.7,15.0,4.6,1.3,2.2,16.8,16.3,0.5,0.8,1.3,.084,-1.5,-0.2,-1.7,0.1,
12,Jawann Oldham,24,C,22,0,124,6.5,.403,.000,.389,6.0,15.7,10.7,3.1,0.8,4.6,12.5,15.9,-0.1,0.1,0.0,.008,-5.6,0.3,-5.3,-0.1,
13,Larry Spriggs,22,SF,4,0,37,11.7,.589,.000,.182,5.8,12.4,9.0,15.5,2.7,0.0,25.2,17.6,0.0,0.0,0.0,.037,-3.8,0.3,-3.5,0.0,
