Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Shawn Kemp,23,PF,78,68,2582,20.4,.547,.004,.480,12.8,25.1,18.8,8.8,2.3,3.8,14.6,24.2,4.0,5.1,9.1,.169,0.9,1.0,1.9,2.6,"MVP-10,AS"
2,Gary Payton,24,PG,82,78,2548,17.0,.529,.035,.204,4.3,8.7,6.4,22.7,3.5,0.6,12.4,19.8,4.2,3.6,7.8,.147,0.9,1.9,2.7,3.1,
3,Derrick McKey,26,SF,77,68,2439,15.0,.568,.144,.381,5.7,10.0,7.8,11.2,2.2,1.6,14.3,18.3,3.6,3.0,6.6,.130,1.2,0.7,1.9,2.4,
4,Ricky Pierce,33,SG,77,72,2218,19.2,.572,.106,.329,3.0,7.2,5.1,15.5,2.3,0.2,11.5,26.3,5.4,2.3,7.7,.167,2.6,-0.2,2.5,2.5,
5,Michael Cage,31,C,82,66,2156,13.2,.527,.002,.313,14.3,21.6,17.9,4.1,1.8,1.4,11.1,10.4,2.9,3.3,6.2,.137,0.5,-0.2,0.4,1.3,
6,Nate McMillan,28,PG,73,25,1977,15.1,.527,.142,.292,4.9,13.3,9.0,25.2,4.4,1.1,21.2,14.0,1.9,3.7,5.6,.136,0.1,3.9,4.1,3.0,
7,Eddie Johnson,33,SF,82,0,1869,17.1,.533,.057,.259,7.6,9.4,8.5,11.5,1.0,0.1,10.8,27.9,3.4,1.5,4.8,.124,1.4,-2.3,-0.9,0.5,
8,Dana Barros,25,PG,69,2,1243,15.0,.541,.357,.124,1.7,8.5,5.0,17.2,2.5,0.2,10.4,18.9,2.1,1.4,3.5,.134,1.1,0.4,1.5,1.1,
9,Vincent Askew,26,SG,64,4,1053,13.4,.547,.021,.459,6.0,10.7,8.3,15.0,1.8,1.1,14.8,16.5,1.4,1.2,2.6,.120,-0.4,0.4,0.0,0.5,
10,Sam Perkins,31,PF,30,13,762,16.9,.588,.154,.305,7.8,14.5,11.1,5.3,1.3,2.7,9.4,18.8,1.8,1.0,2.8,.173,1.7,-0.1,1.6,0.7,
11,Benoit Benjamin,28,C,31,6,448,14.7,.543,.000,.411,6.9,22.8,14.7,3.8,1.9,5.2,17.9,22.0,0.0,0.9,0.9,.093,-3.5,1.3,-2.2,0.0,
12,Gerald Paddio,27,SF,41,3,307,16.3,.470,.050,.132,6.4,12.8,9.5,16.6,2.3,1.3,8.7,25.3,0.2,0.4,0.6,.096,-0.1,-0.8,-0.9,0.1,
13,Steve Scheffler,25,C,29,5,166,13.1,.564,.000,.500,10.4,15.0,12.7,4.1,1.8,0.4,7.9,16.1,0.4,0.2,0.6,.163,-2.7,-0.6,-3.4,-0.1,
14,Rich King,23,C,3,0,12,8.7,.510,.000,.400,9.6,39.6,24.3,11.7,0.0,0.0,33.8,31.1,0.0,0.0,0.0,-0.105,-7.8,-1.9,-9.7,0.0,
