Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dee Brown,26,SG,79,69,2792,15.7,.562,.335,.284,2.6,7.8,5.1,16.7,2.0,1.2,11.7,19.3,5.0,1.8,6.8,.117,1.8,0.3,2.1,2.9,
2,Dominique Wilkins,35,SF,77,64,2423,16.3,.519,.247,.291,7.4,11.8,9.5,11.5,1.3,0.4,11.6,26.6,2.6,1.3,3.9,.076,2.2,-2.1,0.1,1.3,
3,Eric Montross,23,C,78,75,2315,12.1,.565,.002,.457,9.6,18.7,14.1,2.3,0.6,1.8,14.0,15.0,2.3,1.8,4.1,.084,-1.9,-1.1,-3.0,-0.6,
4,Dino Radja,27,PF,66,48,2147,17.9,.537,.001,.334,7.9,23.1,15.4,8.7,1.4,2.7,13.1,24.5,2.0,2.5,4.5,.102,0.0,0.0,0.0,1.1,
5,Sherman Douglas,28,PG,65,43,2048,17.0,.530,.107,.385,2.7,7.0,4.8,34.9,2.0,0.1,15.3,22.4,3.2,1.0,4.2,.099,2.2,-1.1,1.2,1.7,
6,Xavier McDaniel,31,SF,68,15,1430,12.8,.488,.038,.229,7.5,16.9,12.1,12.0,1.1,1.0,12.9,20.9,0.3,1.0,1.4,.046,-1.3,-1.0,-2.3,-0.1,
7,David Wesley,24,PG,51,36,1380,12.9,.533,.380,.300,2.5,7.3,4.9,27.2,3.0,0.4,19.7,13.8,1.5,1.1,2.6,.091,-0.4,0.9,0.5,0.9,
8,Derek Strong,26,PF,70,24,1344,12.5,.545,.021,.523,11.5,20.8,16.1,4.7,0.9,0.7,16.3,15.6,1.4,1.1,2.4,.086,-1.5,-1.3,-2.8,-0.3,
9,Pervis Ellison,27,C,55,11,1083,13.3,.546,.007,.330,13.0,20.0,16.4,4.7,1.0,3.4,18.1,16.8,0.7,1.1,1.8,.080,-2.6,-0.3,-2.9,-0.2,
10,Rick Fox,25,SF,53,7,1039,16.8,.573,.214,.350,6.7,10.6,8.6,20.9,2.6,1.3,16.1,20.1,1.8,0.9,2.8,.128,1.1,0.8,1.9,1.0,
11,Greg Minor,23,SG,63,8,945,14.7,.562,.040,.259,5.9,10.9,8.4,10.9,1.7,1.2,11.6,17.4,1.4,0.6,2.1,.106,0.0,0.1,0.2,0.5,
12,Blue Edwards,29,SF,31,7,507,12.7,.509,.221,.246,5.6,9.2,7.4,14.5,1.9,1.4,15.3,21.8,0.2,0.4,0.5,.051,-1.5,-0.7,-2.3,0.0,
13,Acie Earl,24,C,30,3,208,6.6,.409,.000,.426,10.4,14.6,12.5,1.4,1.5,2.6,14.8,19.7,-0.4,0.2,-0.2,-0.038,-6.9,-2.0,-8.9,-0.4,
14,James Blackwell,26,PG,9,0,61,10.8,.618,.000,.300,3.7,11.5,7.6,14.0,2.5,0.0,20.9,10.2,0.1,0.0,0.1,.087,-1.9,2.4,0.5,0.0,
15,Jay Humphries,32,PG,6,0,52,5.8,.465,.111,.444,4.4,2.3,3.3,26.5,2.0,0.0,31.7,13.1,0.0,0.0,0.0,-0.019,-5.8,0.7,-5.0,0.0,
16,Tony Harris,27,SG,3,0,18,17.6,.585,.125,1.125,0.0,0.0,0.0,0.0,0.0,0.0,7.7,31.2,0.1,0.0,0.1,.172,-1.0,-3.5,-4.5,0.0,
17,Tony Dawson,27,SF,2,0,13,5.9,.474,.375,.125,0.0,27.0,13.3,13.5,0.0,0.0,19.2,34.8,0.0,0.0,0.0,-0.099,-11.7,-3.9,-15.6,0.0,
