Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Chris Webber,26,PF,75,75,2880,23.4,.530,.061,.267,6.8,21.8,14.3,21.1,2.0,2.9,11.2,28.2,5.7,5.0,10.7,.179,3.6,2.1,5.7,5.6,"MVP-9,AS,NBA3"
2,Jason Williams,24,PG,81,81,2760,11.6,.477,.519,.175,0.8,7.9,4.3,30.7,2.0,0.2,22.0,20.3,-1.1,2.6,1.5,.026,-0.8,-1.1,-1.9,0.1,
3,Vlade Divac,31,C,82,81,2374,18.0,.552,.034,.436,7.6,21.3,14.4,15.4,2.1,2.8,17.3,19.3,3.0,4.1,7.2,.145,0.4,2.4,2.8,2.9,
4,Nick Anderson,32,SG,72,72,2094,11.8,.479,.508,.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0.3,2.5,2.8,.064,-0.6,0.3,-0.3,0.9,
5,Peja Stojaković,22,SF,74,11,1749,16.3,.559,.372,.213,4.4,12.1,8.2,9.4,1.4,0.3,10.1,20.8,3.2,1.7,4.8,.133,2.0,-0.4,1.6,1.6,6MOY-6
6,Corliss Williamson,26,SF,76,76,1707,14.0,.549,.000,.341,7.4,10.3,8.9,7.4,1.1,0.7,13.3,20.2,2.2,1.4,3.6,.102,-1.2,-0.9,-2.1,0.0,
7,Scot Pollard,24,C,76,5,1336,15.8,.584,.000,.562,13.0,18.5,15.8,4.5,2.0,2.9,12.4,12.6,2.9,2.2,5.1,.183,-0.9,1.0,0.1,0.7,
8,Jon Barry,30,SG,62,1,1281,15.9,.623,.445,.335,3.1,9.9,6.5,16.7,2.8,0.4,17.6,15.7,2.6,1.6,4.2,.157,0.8,2.0,2.8,1.5,
9,Lawrence Funderburke,29,PF,75,1,1026,18.0,.570,.006,.463,9.9,13.9,11.9,5.0,1.5,1.3,8.6,18.8,2.5,1.2,3.7,.172,1.2,-0.2,1.0,0.8,
10,Tyrone Corbin,37,SF,54,5,941,7.9,.415,.178,.158,4.4,13.9,9.1,8.7,1.8,0.3,9.9,13.0,-0.1,1.1,0.9,.048,-3.6,0.9,-2.7,-0.2,
11,Darrick Martin,28,PG,71,1,893,11.9,.500,.354,.340,0.8,4.3,2.6,20.1,1.5,0.1,13.4,21.7,0.7,0.6,1.3,.067,-1.9,-1.1,-3.0,-0.2,
12,Tony Delk,26,PG,46,1,682,14.1,.485,.143,.211,5.5,8.0,6.7,12.4,2.5,0.5,9.5,20.6,0.5,0.7,1.3,.090,-0.9,0.6,-0.3,0.3,
13,Bill Wennington,36,C,7,0,57,7.6,.352,.000,.105,9.1,25.8,17.4,2.4,1.7,2.3,4.8,15.3,0.0,0.1,0.1,.050,-6.0,0.2,-5.8,-0.1,
14,Ryan Robertson,23,SG,1,0,25,2.6,.388,.333,.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,-0.022,-3.8,-1.6,-5.4,0.0,
