Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Ben Wallace,27,C,80,80,2921,18.6,.522,.006,.488,12.9,28.9,21.0,6.2,2.5,6.7,10.7,10.5,4.3,7.2,11.6,.190,1.2,3.3,4.4,4.8,"MVP-10,DPOY-1,NBA3"
2,Clifford Robinson,35,PF,80,80,2855,13.5,.503,.284,.193,3.3,12.6,8.0,12.5,1.7,2.4,11.5,21.6,0.8,3.5,4.3,.073,-0.6,0.1,-0.5,1.1,
3,Jerry Stackhouse,27,SF,76,76,2685,19.0,.518,.227,.437,3.4,10.4,6.9,28.4,1.5,1.0,14.5,32.3,3.2,2.6,5.8,.104,2.6,-1.2,1.5,2.4,MVP-15
4,Chucky Atkins,27,PG,79,62,2285,14.5,.568,.425,.152,1.6,6.5,4.1,20.5,1.7,0.3,13.2,20.0,3.3,1.8,5.1,.107,0.9,-0.6,0.2,1.3,
5,Jon Barry,32,SG,82,6,1985,17.7,.645,.494,.222,2.5,11.3,6.9,23.2,2.5,0.7,16.2,16.2,5.0,2.5,7.5,.180,2.6,1.3,3.9,3.0,
6,Michael Curry,33,SG,82,75,1912,6.2,.521,.094,.330,0.9,9.4,5.2,10.1,1.3,0.4,16.0,9.3,0.7,1.6,2.3,.057,-4.6,0.6,-4.0,-0.9,
7,Corliss Williamson,28,SF,78,7,1701,20.0,.567,.006,.370,8.2,13.9,11.1,11.5,1.5,1.1,12.8,29.8,3.2,1.9,5.1,.144,0.6,-0.9,-0.3,0.7,6MOY-1
8,Željko Rebrača,29,C,74,4,1179,16.2,.569,.000,.468,8.4,20.5,14.5,5.7,1.3,4.4,15.7,21.4,1.4,1.9,3.3,.134,-2.9,0.6,-2.3,-0.1,
9,Damon Jones,25,PG,67,0,1083,11.2,.548,.655,.208,1.4,9.7,5.6,20.9,1.1,0.1,16.4,16.1,1.1,0.8,1.9,.084,-0.7,-1.0,-1.7,0.1,
10,Dana Barros,34,PG,29,20,582,10.5,.473,.370,.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,0.0,0.5,0.5,.040,-2.0,-0.6,-2.6,-0.1,
11,Mikki Moore,26,C,30,0,217,14.9,.545,.033,.426,12.0,16.7,14.4,8.6,1.7,2.9,16.2,18.8,0.3,0.3,0.6,.133,-1.8,0.6,-1.3,0.0,
12,Rodney White,21,SF,16,0,129,11.0,.423,.150,.233,1.8,14.5,8.2,16.6,3.7,1.1,17.5,29.3,-0.4,0.2,-0.2,-0.056,-4.7,0.2,-4.5,-0.1,
13,Victor Alexander,32,C,15,0,97,9.2,.367,.039,.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,-0.3,0.1,-0.1,-0.073,-5.3,-3.5,-8.8,-0.2,
14,Brian Cardinal,24,PF,8,0,43,15.9,.612,.538,.154,5.5,10.9,8.2,8.0,1.2,0.0,0.0,15.2,0.1,0.0,0.2,.201,2.4,-0.5,2.0,0.0,
15,Ratko Varda,22,C,1,0,6,15.0,.727,.000,.333,0.0,19.5,9.8,0.0,0.0,0.0,22.5,34.9,0.0,0.0,0.0,.098,-8.4,2.3,-6.1,0.0,
