Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Brook Lopez,28,C,75,75,2222,20.4,.578,.330,.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,.105,2.9,-0.6,2.3,2.4,
2,Rondae Hollis-Jefferson,22,SF,78,50,1761,13.7,.517,.124,.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,.070,-2.2,0.9,-1.3,0.3,
3,Sean Kilpatrick,27,SG,70,24,1754,13.1,.546,.419,.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,0.4,1.1,1.4,.040,-0.9,-1.4,-2.3,-0.1,
4,Trevor Booker,29,PF,71,43,1754,15.7,.554,.132,.186,8.7,25.5,17.2,12.9,2.0,1.2,16.6,18.7,1.0,2.2,3.1,.086,-0.9,0.3,-0.6,0.6,
5,Isaiah Whitehead,21,PG,73,26,1643,7.6,.487,.293,.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.8,-5.1,-1.3,
6,Bojan Bogdanović,27,SF,55,54,1482,13.0,.572,.453,.273,1.7,12.3,7.0,10.1,0.8,0.2,12.0,22.5,1.0,0.6,1.6,.052,-0.5,-2.1,-2.6,-0.2,
7,Spencer Dinwiddie,23,PG,59,18,1334,12.7,.581,.334,.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,.101,-1.3,0.4,-1.0,0.4,
8,Randy Foye,33,SG,69,40,1284,7.3,.506,.625,.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,-0.6,0.7,0.2,.006,-3.7,-0.7,-4.4,-0.8,
9,Caris LeVert,22,SF,57,26,1237,12.3,.556,.484,.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,0.8,1.0,1.8,.070,-1.3,0.3,-1.1,0.3,
10,Justin Hamilton,26,C,64,7,1177,13.6,.550,.475,.137,6.5,17.0,11.8,7.3,1.2,2.8,9.7,16.2,1.0,1.0,2.1,.084,-0.5,-0.3,-0.8,0.4,
11,Joe Harris,25,SG,52,11,1138,9.0,.558,.610,.135,1.5,12.0,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,.032,-2.6,-0.9,-3.5,-0.4,
12,Jeremy Lin,28,PG,36,33,883,19.2,.566,.390,.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,.116,1.9,0.1,2.0,0.9,
13,Quincy Acy,26,PF,32,1,510,13.1,.587,.542,.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,.102,-0.6,-0.2,-0.9,0.1,
14,Luis Scola,36,PF,36,1,461,13.9,.550,.331,.245,11.9,19.9,16.0,12.7,1.4,0.7,16.9,18.7,0.4,0.4,0.8,.082,-1.8,-1.1,-2.9,-0.1,
15,K.J. McDaniels,23,SF,20,0,293,12.5,.556,.386,.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,0.0,0.3,0.3,.046,-2.2,0.3,-1.9,0.0,
16,Anthony Bennett,23,PF,23,1,264,14.7,.533,.522,.391,10.2,21.0,15.6,7.1,0.9,0.9,10.0,19.4,0.3,0.2,0.5,.090,0.5,-1.9,-1.4,0.0,
17,Archie Goodwin,22,SG,12,0,184,18.6,.633,.213,.525,4.1,11.9,8.1,20.8,1.0,1.6,15.7,20.7,0.4,0.1,0.5,.131,2.0,-0.4,1.6,0.2,
18,Yogi Ferrell,23,PG,10,0,151,6.5,.482,.551,.327,2.8,5.5,4.2,16.9,0.6,1.0,20.0,19.9,-0.2,0.0,-0.2,-0.050,-4.1,-3.3,-7.5,-0.2,ROY-8
19,Andrew Nicholson,27,PF,10,0,111,5.0,.430,.324,.059,3.9,21.7,12.9,4.0,2.1,0.0,14.7,15.8,-0.2,0.1,-0.1,-0.030,-6.7,-0.1,-6.8,-0.1,
20,Chris McCullough,21,PF,14,0,72,16.8,.541,.194,.097,13.4,11.6,12.5,4.9,0.7,2.1,5.8,20.4,0.1,0.0,0.1,.098,-0.2,-2.8,-3.0,0.0,
21,Greivis Vásquez,30,PG,3,0,39,4.1,.376,.375,.375,0.0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0.0,0.0,0.0,-0.006,-6.4,0.9,-5.5,0.0,
